time 2021-06-24 03:28:08.230986 	memory 8508.0 	max_memory_used 8508.0 	retained_memory_used 8505.0 	retained_max_memory_used 8505.0
time 2021-06-24 03:28:09.495747 	memory 8616.0 	max_memory_used 8616.0 	retained_memory_used 8613.0 	retained_max_memory_used 8613.0
time 2021-06-24 03:28:22.745463 	memory 8672.0 	max_memory_used 8672.0 	retained_memory_used 8669.0 	retained_max_memory_used 8669.0
time 2021-06-24 03:28:22.746384 	memory 8680.0 	max_memory_used 8680.0 	retained_memory_used 8677.0 	retained_max_memory_used 8677.0
time 2021-06-24 03:28:22.747180 	memory 8690.0 	max_memory_used 8690.0 	retained_memory_used 8687.0 	retained_max_memory_used 8687.0
time 2021-06-24 03:28:22.747493 	memory 8698.0 	max_memory_used 8698.0 	retained_memory_used 8695.0 	retained_max_memory_used 8695.0
time 2021-06-24 03:28:22.761133 	memory 8742.0 	max_memory_used 8742.0 	retained_memory_used 8739.0 	retained_max_memory_used 8739.0
time 2021-06-24 03:28:22.761798 	memory 8756.0 	max_memory_used 8756.0 	retained_memory_used 8753.0 	retained_max_memory_used 8753.0
time 2021-06-24 03:28:22.791974 	memory 9016.0 	max_memory_used 9016.0 	retained_memory_used 9013.0 	retained_max_memory_used 9013.0
time 2021-06-24 03:28:22.792198 	memory 9042.0 	max_memory_used 9042.0 	retained_memory_used 9039.0 	retained_max_memory_used 9039.0
time 2021-06-24 03:28:22.792939 	memory 9046.0 	max_memory_used 9046.0 	retained_memory_used 9043.0 	retained_max_memory_used 9043.0
time 2021-06-24 03:28:22.793668 	memory 9072.0 	max_memory_used 9072.0 	retained_memory_used 9069.0 	retained_max_memory_used 9069.0
time 2021-06-24 03:28:25.788664 	memory 9086.0 	max_memory_used 9086.0 	retained_memory_used 9083.0 	retained_max_memory_used 9083.0
time 2021-06-24 03:28:25.793478 	memory 9094.0 	max_memory_used 9094.0 	retained_memory_used 9091.0 	retained_max_memory_used 9091.0
time 2021-06-24 03:28:25.797993 	memory 9098.0 	max_memory_used 9098.0 	retained_memory_used 9095.0 	retained_max_memory_used 9095.0
time 2021-06-24 03:28:25.798470 	memory 9102.0 	max_memory_used 9102.0 	retained_memory_used 9099.0 	retained_max_memory_used 9099.0
time 2021-06-24 03:28:25.800160 	memory 9120.0 	max_memory_used 9120.0 	retained_memory_used 9117.0 	retained_max_memory_used 9117.0
time 2021-06-24 03:28:25.801517 	memory 9128.0 	max_memory_used 9128.0 	retained_memory_used 9125.0 	retained_max_memory_used 9125.0
time 2021-06-24 03:28:30.149437 	memory 9150.0 	max_memory_used 9150.0 	retained_memory_used 9147.0 	retained_max_memory_used 9147.0
time 2021-06-24 03:28:30.152079 	memory 9162.0 	max_memory_used 9162.0 	retained_memory_used 9159.0 	retained_max_memory_used 9159.0
time 2021-06-24 03:28:30.153857 	memory 9164.0 	max_memory_used 9164.0 	retained_memory_used 9161.0 	retained_max_memory_used 9161.0
time 2021-06-24 03:28:30.154426 	memory 9172.0 	max_memory_used 9172.0 	retained_memory_used 9169.0 	retained_max_memory_used 9169.0
time 2021-06-24 03:28:30.154730 	memory 9208.0 	max_memory_used 9208.0 	retained_memory_used 9205.0 	retained_max_memory_used 9205.0
time 2021-06-24 03:28:30.155440 	memory 9210.0 	max_memory_used 9210.0 	retained_memory_used 9207.0 	retained_max_memory_used 9207.0
time 2021-06-24 03:28:30.155991 	memory 9236.0 	max_memory_used 9236.0 	retained_memory_used 9233.0 	retained_max_memory_used 9233.0
time 2021-06-24 03:28:30.158537 	memory 9262.0 	max_memory_used 9262.0 	retained_memory_used 9259.0 	retained_max_memory_used 9259.0
time 2021-06-24 03:28:30.158845 	memory 9264.0 	max_memory_used 9264.0 	retained_memory_used 9261.0 	retained_max_memory_used 9261.0
time 2021-06-24 03:28:37.758518 	memory 9288.0 	max_memory_used 9288.0 	retained_memory_used 9285.0 	retained_max_memory_used 9285.0
time 2021-06-24 03:28:37.762050 	memory 9312.0 	max_memory_used 9312.0 	retained_memory_used 9309.0 	retained_max_memory_used 9309.0
time 2021-06-24 03:28:37.762463 	memory 9316.0 	max_memory_used 9316.0 	retained_memory_used 9313.0 	retained_max_memory_used 9313.0
time 2021-06-24 03:28:37.763296 	memory 9322.0 	max_memory_used 9322.0 	retained_memory_used 9319.0 	retained_max_memory_used 9319.0
time 2021-06-24 03:28:37.764756 	memory 9348.0 	max_memory_used 9348.0 	retained_memory_used 9345.0 	retained_max_memory_used 9345.0
time 2021-06-24 03:28:37.765299 	memory 9350.0 	max_memory_used 9350.0 	retained_memory_used 9347.0 	retained_max_memory_used 9347.0
time 2021-06-24 03:28:37.765746 	memory 9364.0 	max_memory_used 9364.0 	retained_memory_used 9361.0 	retained_max_memory_used 9361.0
time 2021-06-24 03:28:37.766002 	memory 9390.0 	max_memory_used 9390.0 	retained_memory_used 9387.0 	retained_max_memory_used 9387.0
time 2021-06-24 03:28:37.769255 	memory 9394.0 	max_memory_used 9394.0 	retained_memory_used 9391.0 	retained_max_memory_used 9391.0
time 2021-06-24 03:28:37.770165 	memory 9398.0 	max_memory_used 9398.0 	retained_memory_used 9395.0 	retained_max_memory_used 9395.0
