time 2021-06-24 19:39:56.642903 	memory 638.0 	max_memory_used 638.0 	retained_memory_used 635.0 	retained_max_memory_used 635.0
time 2021-06-24 19:39:56.643316 	memory 644.0 	max_memory_used 644.0 	retained_memory_used 641.0 	retained_max_memory_used 641.0
time 2021-06-24 19:39:56.689458 	memory 670.0 	max_memory_used 670.0 	retained_memory_used 667.0 	retained_max_memory_used 667.0
time 2021-06-24 19:39:56.690838 	memory 678.0 	max_memory_used 678.0 	retained_memory_used 675.0 	retained_max_memory_used 675.0
time 2021-06-24 19:39:56.696557 	memory 682.0 	max_memory_used 682.0 	retained_memory_used 679.0 	retained_max_memory_used 679.0
time 2021-06-24 19:39:56.704121 	memory 1026.0 	max_memory_used 1026.0 	retained_memory_used 1023.0 	retained_max_memory_used 1023.0
time 2021-06-24 19:39:56.761563 	memory 1032.0 	max_memory_used 1032.0 	retained_memory_used 1029.0 	retained_max_memory_used 1029.0
time 2021-06-24 19:39:56.822751 	memory 1040.0 	max_memory_used 1040.0 	retained_memory_used 1037.0 	retained_max_memory_used 1037.0
time 2021-06-24 19:39:56.912074 	memory 1048.0 	max_memory_used 1048.0 	retained_memory_used 1045.0 	retained_max_memory_used 1045.0
time 2021-06-24 19:39:57.008148 	memory 1060.0 	max_memory_used 1060.0 	retained_memory_used 1057.0 	retained_max_memory_used 1057.0
time 2021-06-24 19:39:57.069945 	memory 1072.0 	max_memory_used 1072.0 	retained_memory_used 1069.0 	retained_max_memory_used 1069.0
time 2021-06-24 19:39:57.095377 	memory 1078.0 	max_memory_used 1078.0 	retained_memory_used 1075.0 	retained_max_memory_used 1075.0
time 2021-06-24 19:39:57.131613 	memory 1084.0 	max_memory_used 1084.0 	retained_memory_used 1081.0 	retained_max_memory_used 1081.0
time 2021-06-24 19:39:57.441880 	memory 1086.0 	max_memory_used 1086.0 	retained_memory_used 1083.0 	retained_max_memory_used 1083.0
time 2021-06-24 19:39:57.489812 	memory 1090.0 	max_memory_used 1090.0 	retained_memory_used 1087.0 	retained_max_memory_used 1087.0
