time 2021-06-24 15:24:09.561620 	memory 1900.0 	max_memory_used 1900.0 	retained_memory_used 1897.0 	retained_max_memory_used 1897.0
time 2021-06-24 15:24:09.578096 	memory 1904.0 	max_memory_used 1904.0 	retained_memory_used 1901.0 	retained_max_memory_used 1901.0
time 2021-06-24 15:24:09.727305 	memory 1906.0 	max_memory_used 1906.0 	retained_memory_used 1903.0 	retained_max_memory_used 1903.0
time 2021-06-24 15:24:09.729521 	memory 1912.0 	max_memory_used 1912.0 	retained_memory_used 1909.0 	retained_max_memory_used 1909.0
time 2021-06-24 15:24:09.762661 	memory 1914.0 	max_memory_used 1914.0 	retained_memory_used 1911.0 	retained_max_memory_used 1911.0
time 2021-06-24 15:24:09.767845 	memory 1918.0 	max_memory_used 1918.0 	retained_memory_used 1915.0 	retained_max_memory_used 1915.0
time 2021-06-24 15:24:09.769265 	memory 1922.0 	max_memory_used 1922.0 	retained_memory_used 1919.0 	retained_max_memory_used 1919.0
time 2021-06-24 15:24:09.770271 	memory 1926.0 	max_memory_used 1926.0 	retained_memory_used 1923.0 	retained_max_memory_used 1923.0
time 2021-06-24 15:24:09.771750 	memory 1930.0 	max_memory_used 1930.0 	retained_memory_used 1927.0 	retained_max_memory_used 1927.0
time 2021-06-24 15:24:09.772724 	memory 1936.0 	max_memory_used 1936.0 	retained_memory_used 1933.0 	retained_max_memory_used 1933.0
time 2021-06-24 15:24:09.826606 	memory 1938.0 	max_memory_used 1938.0 	retained_memory_used 1935.0 	retained_max_memory_used 1935.0
time 2021-06-24 15:24:09.856009 	memory 1940.0 	max_memory_used 1940.0 	retained_memory_used 1937.0 	retained_max_memory_used 1937.0
time 2021-06-24 15:24:09.856315 	memory 1942.0 	max_memory_used 1942.0 	retained_memory_used 1939.0 	retained_max_memory_used 1939.0
time 2021-06-24 15:24:09.857180 	memory 1944.0 	max_memory_used 1944.0 	retained_memory_used 1941.0 	retained_max_memory_used 1941.0
time 2021-06-24 15:24:09.861266 	memory 1952.0 	max_memory_used 1952.0 	retained_memory_used 1949.0 	retained_max_memory_used 1949.0
time 2021-06-24 15:24:09.863222 	memory 1956.0 	max_memory_used 1956.0 	retained_memory_used 1953.0 	retained_max_memory_used 1953.0
time 2021-06-24 15:24:09.863581 	memory 1960.0 	max_memory_used 1960.0 	retained_memory_used 1957.0 	retained_max_memory_used 1957.0
time 2021-06-24 15:24:09.869677 	memory 1964.0 	max_memory_used 1964.0 	retained_memory_used 1961.0 	retained_max_memory_used 1961.0
time 2021-06-24 15:24:09.872582 	memory 1966.0 	max_memory_used 1966.0 	retained_memory_used 1963.0 	retained_max_memory_used 1963.0
time 2021-06-24 15:24:09.888137 	memory 1968.0 	max_memory_used 1968.0 	retained_memory_used 1965.0 	retained_max_memory_used 1965.0
time 2021-06-24 15:24:09.888596 	memory 1970.0 	max_memory_used 1970.0 	retained_memory_used 1967.0 	retained_max_memory_used 1967.0
time 2021-06-24 15:24:09.890850 	memory 1974.0 	max_memory_used 1974.0 	retained_memory_used 1971.0 	retained_max_memory_used 1971.0
time 2021-06-24 15:24:09.891696 	memory 1976.0 	max_memory_used 1976.0 	retained_memory_used 1973.0 	retained_max_memory_used 1973.0
time 2021-06-24 15:24:09.894475 	memory 1980.0 	max_memory_used 1980.0 	retained_memory_used 1977.0 	retained_max_memory_used 1977.0
time 2021-06-24 15:24:09.896763 	memory 1984.0 	max_memory_used 1984.0 	retained_memory_used 1981.0 	retained_max_memory_used 1981.0
time 2021-06-24 15:24:09.904604 	memory 1988.0 	max_memory_used 1988.0 	retained_memory_used 1985.0 	retained_max_memory_used 1985.0
time 2021-06-24 15:24:09.906519 	memory 1990.0 	max_memory_used 1990.0 	retained_memory_used 1987.0 	retained_max_memory_used 1987.0
time 2021-06-24 15:24:09.908886 	memory 1992.0 	max_memory_used 1992.0 	retained_memory_used 1989.0 	retained_max_memory_used 1989.0
time 2021-06-24 15:24:09.917032 	memory 1996.0 	max_memory_used 1996.0 	retained_memory_used 1993.0 	retained_max_memory_used 1993.0
time 2021-06-24 15:24:09.918733 	memory 2000.0 	max_memory_used 2000.0 	retained_memory_used 1997.0 	retained_max_memory_used 1997.0
time 2021-06-24 15:24:09.922646 	memory 2002.0 	max_memory_used 2002.0 	retained_memory_used 1999.0 	retained_max_memory_used 1999.0
time 2021-06-24 15:24:09.923331 	memory 2006.0 	max_memory_used 2006.0 	retained_memory_used 2003.0 	retained_max_memory_used 2003.0
time 2021-06-24 15:24:09.925123 	memory 2008.0 	max_memory_used 2008.0 	retained_memory_used 2005.0 	retained_max_memory_used 2005.0
time 2021-06-24 15:24:09.925823 	memory 2012.0 	max_memory_used 2012.0 	retained_memory_used 2009.0 	retained_max_memory_used 2009.0
time 2021-06-24 15:24:09.928193 	memory 2018.0 	max_memory_used 2018.0 	retained_memory_used 2015.0 	retained_max_memory_used 2015.0
time 2021-06-24 15:24:09.931051 	memory 2024.0 	max_memory_used 2024.0 	retained_memory_used 2021.0 	retained_max_memory_used 2021.0
time 2021-06-24 15:24:09.933153 	memory 2028.0 	max_memory_used 2028.0 	retained_memory_used 2025.0 	retained_max_memory_used 2025.0
time 2021-06-24 15:24:09.970189 	memory 2030.0 	max_memory_used 2030.0 	retained_memory_used 2027.0 	retained_max_memory_used 2027.0
time 2021-06-24 15:24:09.976480 	memory 2036.0 	max_memory_used 2036.0 	retained_memory_used 2033.0 	retained_max_memory_used 2033.0
time 2021-06-24 15:24:09.978459 	memory 2038.0 	max_memory_used 2038.0 	retained_memory_used 2035.0 	retained_max_memory_used 2035.0
time 2021-06-24 15:24:09.980175 	memory 2042.0 	max_memory_used 2042.0 	retained_memory_used 2039.0 	retained_max_memory_used 2039.0
time 2021-06-24 15:24:09.981582 	memory 2044.0 	max_memory_used 2044.0 	retained_memory_used 2041.0 	retained_max_memory_used 2041.0
time 2021-06-24 15:24:09.981938 	memory 2048.0 	max_memory_used 2048.0 	retained_memory_used 2045.0 	retained_max_memory_used 2045.0
time 2021-06-24 15:24:09.983385 	memory 2052.0 	max_memory_used 2052.0 	retained_memory_used 2049.0 	retained_max_memory_used 2049.0
time 2021-06-24 15:24:09.983835 	memory 2054.0 	max_memory_used 2054.0 	retained_memory_used 2051.0 	retained_max_memory_used 2051.0
time 2021-06-24 15:24:09.985267 	memory 2056.0 	max_memory_used 2056.0 	retained_memory_used 2053.0 	retained_max_memory_used 2053.0
time 2021-06-24 15:24:09.986727 	memory 2062.0 	max_memory_used 2062.0 	retained_memory_used 2059.0 	retained_max_memory_used 2059.0
