time 2021-06-24 13:17:24.681932 	memory 924.0 	max_memory_used 924.0 	retained_memory_used 921.0 	retained_max_memory_used 921.0
time 2021-06-24 13:17:24.682213 	memory 928.0 	max_memory_used 928.0 	retained_memory_used 925.0 	retained_max_memory_used 925.0
time 2021-06-24 13:17:24.892491 	memory 930.0 	max_memory_used 930.0 	retained_memory_used 927.0 	retained_max_memory_used 927.0
time 2021-06-24 13:17:24.893091 	memory 936.0 	max_memory_used 936.0 	retained_memory_used 933.0 	retained_max_memory_used 933.0
time 2021-06-24 13:17:24.895359 	memory 942.0 	max_memory_used 942.0 	retained_memory_used 939.0 	retained_max_memory_used 939.0
time 2021-06-24 13:17:24.897224 	memory 948.0 	max_memory_used 948.0 	retained_memory_used 945.0 	retained_max_memory_used 945.0
time 2021-06-24 13:17:24.897906 	memory 960.0 	max_memory_used 960.0 	retained_memory_used 957.0 	retained_max_memory_used 957.0
time 2021-06-24 13:17:24.898369 	memory 964.0 	max_memory_used 964.0 	retained_memory_used 961.0 	retained_max_memory_used 961.0
time 2021-06-24 13:17:24.903213 	memory 968.0 	max_memory_used 968.0 	retained_memory_used 965.0 	retained_max_memory_used 965.0
time 2021-06-24 13:17:24.903858 	memory 972.0 	max_memory_used 972.0 	retained_memory_used 969.0 	retained_max_memory_used 969.0
time 2021-06-24 13:17:24.904429 	memory 976.0 	max_memory_used 976.0 	retained_memory_used 973.0 	retained_max_memory_used 973.0
time 2021-06-24 13:17:24.905235 	memory 980.0 	max_memory_used 980.0 	retained_memory_used 977.0 	retained_max_memory_used 977.0
time 2021-06-24 13:17:24.905833 	memory 984.0 	max_memory_used 984.0 	retained_memory_used 981.0 	retained_max_memory_used 981.0
time 2021-06-24 13:17:24.906543 	memory 988.0 	max_memory_used 988.0 	retained_memory_used 985.0 	retained_max_memory_used 985.0
time 2021-06-24 13:17:24.916779 	memory 994.0 	max_memory_used 994.0 	retained_memory_used 991.0 	retained_max_memory_used 991.0
time 2021-06-24 13:17:25.094002 	memory 996.0 	max_memory_used 996.0 	retained_memory_used 993.0 	retained_max_memory_used 993.0
time 2021-06-24 13:17:25.095729 	memory 998.0 	max_memory_used 998.0 	retained_memory_used 995.0 	retained_max_memory_used 995.0
time 2021-06-24 13:17:25.099486 	memory 1000.0 	max_memory_used 1000.0 	retained_memory_used 997.0 	retained_max_memory_used 997.0
time 2021-06-24 13:17:25.102403 	memory 1002.0 	max_memory_used 1002.0 	retained_memory_used 999.0 	retained_max_memory_used 999.0
time 2021-06-24 13:17:25.102809 	memory 1016.0 	max_memory_used 1016.0 	retained_memory_used 1013.0 	retained_max_memory_used 1013.0
time 2021-06-24 13:17:25.105569 	memory 1018.0 	max_memory_used 1018.0 	retained_memory_used 1015.0 	retained_max_memory_used 1015.0
time 2021-06-24 13:17:25.106158 	memory 1022.0 	max_memory_used 1022.0 	retained_memory_used 1019.0 	retained_max_memory_used 1019.0
time 2021-06-24 13:17:25.113386 	memory 1024.0 	max_memory_used 1024.0 	retained_memory_used 1021.0 	retained_max_memory_used 1021.0
time 2021-06-24 13:17:25.114494 	memory 1028.0 	max_memory_used 1028.0 	retained_memory_used 1025.0 	retained_max_memory_used 1025.0
time 2021-06-24 13:17:25.115050 	memory 1032.0 	max_memory_used 1032.0 	retained_memory_used 1029.0 	retained_max_memory_used 1029.0
time 2021-06-24 13:17:25.115482 	memory 1034.0 	max_memory_used 1034.0 	retained_memory_used 1031.0 	retained_max_memory_used 1031.0
time 2021-06-24 13:17:25.117876 	memory 1036.0 	max_memory_used 1036.0 	retained_memory_used 1033.0 	retained_max_memory_used 1033.0
time 2021-06-24 13:17:25.118555 	memory 1040.0 	max_memory_used 1040.0 	retained_memory_used 1037.0 	retained_max_memory_used 1037.0
time 2021-06-24 13:17:25.118951 	memory 1044.0 	max_memory_used 1044.0 	retained_memory_used 1041.0 	retained_max_memory_used 1041.0
time 2021-06-24 13:17:25.123119 	memory 1046.0 	max_memory_used 1046.0 	retained_memory_used 1043.0 	retained_max_memory_used 1043.0
time 2021-06-24 13:17:25.123659 	memory 1050.0 	max_memory_used 1050.0 	retained_memory_used 1047.0 	retained_max_memory_used 1047.0
time 2021-06-24 13:17:25.124071 	memory 1054.0 	max_memory_used 1054.0 	retained_memory_used 1051.0 	retained_max_memory_used 1051.0
time 2021-06-24 13:17:25.127576 	memory 1058.0 	max_memory_used 1058.0 	retained_memory_used 1055.0 	retained_max_memory_used 1055.0
time 2021-06-24 13:17:25.129644 	memory 1060.0 	max_memory_used 1060.0 	retained_memory_used 1057.0 	retained_max_memory_used 1057.0
time 2021-06-24 13:17:25.130727 	memory 1062.0 	max_memory_used 1062.0 	retained_memory_used 1059.0 	retained_max_memory_used 1059.0
time 2021-06-24 13:17:25.134510 	memory 1420.0 	max_memory_used 1420.0 	retained_memory_used 1417.0 	retained_max_memory_used 1417.0
time 2021-06-24 13:17:25.828076 	memory 1466.0 	max_memory_used 1466.0 	retained_memory_used 1463.0 	retained_max_memory_used 1463.0
time 2021-06-24 13:17:27.069316 	memory 1470.0 	max_memory_used 1470.0 	retained_memory_used 1467.0 	retained_max_memory_used 1467.0
time 2021-06-24 13:17:39.834529 	memory 1474.0 	max_memory_used 1474.0 	retained_memory_used 1471.0 	retained_max_memory_used 1471.0
