time 2021-06-24 03:02:35.649241 	memory 1722.0 	max_memory_used 1722.0 	retained_memory_used 1719.0 	retained_max_memory_used 1719.0
time 2021-06-24 03:02:36.673280 	memory 1748.0 	max_memory_used 1748.0 	retained_memory_used 1745.0 	retained_max_memory_used 1745.0
time 2021-06-24 03:02:36.673714 	memory 1774.0 	max_memory_used 1774.0 	retained_memory_used 1771.0 	retained_max_memory_used 1771.0
time 2021-06-24 03:02:36.677766 	memory 1776.0 	max_memory_used 1776.0 	retained_memory_used 1773.0 	retained_max_memory_used 1773.0
time 2021-06-24 03:02:36.678410 	memory 1780.0 	max_memory_used 1780.0 	retained_memory_used 1777.0 	retained_max_memory_used 1777.0
time 2021-06-24 03:02:36.679013 	memory 1784.0 	max_memory_used 1784.0 	retained_memory_used 1781.0 	retained_max_memory_used 1781.0
time 2021-06-24 03:02:36.679615 	memory 1790.0 	max_memory_used 1790.0 	retained_memory_used 1787.0 	retained_max_memory_used 1787.0
time 2021-06-24 03:02:36.680423 	memory 1800.0 	max_memory_used 1800.0 	retained_memory_used 1797.0 	retained_max_memory_used 1797.0
time 2021-06-24 03:02:36.681625 	memory 1810.0 	max_memory_used 1810.0 	retained_memory_used 1807.0 	retained_max_memory_used 1807.0
time 2021-06-24 03:02:36.682805 	memory 1820.0 	max_memory_used 1820.0 	retained_memory_used 1817.0 	retained_max_memory_used 1817.0
time 2021-06-24 03:02:36.683989 	memory 1830.0 	max_memory_used 1830.0 	retained_memory_used 1827.0 	retained_max_memory_used 1827.0
time 2021-06-24 03:02:36.688275 	memory 1832.0 	max_memory_used 1832.0 	retained_memory_used 1829.0 	retained_max_memory_used 1829.0
time 2021-06-24 03:02:36.689957 	memory 1856.0 	max_memory_used 1856.0 	retained_memory_used 1853.0 	retained_max_memory_used 1853.0
time 2021-06-24 03:02:36.690751 	memory 1864.0 	max_memory_used 1864.0 	retained_memory_used 1861.0 	retained_max_memory_used 1861.0
time 2021-06-24 03:02:36.691514 	memory 1878.0 	max_memory_used 1878.0 	retained_memory_used 1875.0 	retained_max_memory_used 1875.0
time 2021-06-24 03:02:36.692158 	memory 1880.0 	max_memory_used 1880.0 	retained_memory_used 1877.0 	retained_max_memory_used 1877.0
time 2021-06-24 03:02:36.693549 	memory 1892.0 	max_memory_used 1892.0 	retained_memory_used 1889.0 	retained_max_memory_used 1889.0
time 2021-06-24 03:02:36.700137 	memory 1894.0 	max_memory_used 1894.0 	retained_memory_used 1891.0 	retained_max_memory_used 1891.0
time 2021-06-24 03:02:36.700879 	memory 1898.0 	max_memory_used 1898.0 	retained_memory_used 1895.0 	retained_max_memory_used 1895.0
time 2021-06-24 03:02:36.709435 	memory 1904.0 	max_memory_used 1904.0 	retained_memory_used 1901.0 	retained_max_memory_used 1901.0
time 2021-06-24 03:02:36.718604 	memory 1914.0 	max_memory_used 1914.0 	retained_memory_used 1911.0 	retained_max_memory_used 1911.0
time 2021-06-24 03:02:36.722114 	memory 1918.0 	max_memory_used 1918.0 	retained_memory_used 1915.0 	retained_max_memory_used 1915.0
time 2021-06-24 03:02:36.722691 	memory 1944.0 	max_memory_used 1944.0 	retained_memory_used 1941.0 	retained_max_memory_used 1941.0
time 2021-06-24 03:02:36.726370 	memory 1968.0 	max_memory_used 1968.0 	retained_memory_used 1965.0 	retained_max_memory_used 1965.0
time 2021-06-24 03:02:36.728250 	memory 2010.0 	max_memory_used 2010.0 	retained_memory_used 2007.0 	retained_max_memory_used 2007.0
time 2021-06-24 03:02:36.728747 	memory 2012.0 	max_memory_used 2012.0 	retained_memory_used 2009.0 	retained_max_memory_used 2009.0
time 2021-06-24 03:02:36.730035 	memory 2038.0 	max_memory_used 2038.0 	retained_memory_used 2035.0 	retained_max_memory_used 2035.0
time 2021-06-24 03:02:36.735215 	memory 2040.0 	max_memory_used 2040.0 	retained_memory_used 2037.0 	retained_max_memory_used 2037.0
time 2021-06-24 03:02:36.736706 	memory 2042.0 	max_memory_used 2042.0 	retained_memory_used 2039.0 	retained_max_memory_used 2039.0
time 2021-06-24 03:02:36.737805 	memory 2080.0 	max_memory_used 2080.0 	retained_memory_used 2077.0 	retained_max_memory_used 2077.0
time 2021-06-24 03:02:36.738483 	memory 2082.0 	max_memory_used 2082.0 	retained_memory_used 2079.0 	retained_max_memory_used 2079.0
time 2021-06-24 03:02:36.744538 	memory 2084.0 	max_memory_used 2084.0 	retained_memory_used 2081.0 	retained_max_memory_used 2081.0
time 2021-06-24 03:02:36.746044 	memory 2444.0 	max_memory_used 2444.0 	retained_memory_used 2441.0 	retained_max_memory_used 2441.0
time 2021-06-24 03:02:36.777463 	memory 2492.0 	max_memory_used 2492.0 	retained_memory_used 2489.0 	retained_max_memory_used 2489.0
