time 2021-06-24 03:18:18.138107 	memory 5367.0 	max_memory_used 5367.0 	retained_memory_used 5364.0 	retained_max_memory_used 5364.0
time 2021-06-24 03:18:18.138702 	memory 5369.0 	max_memory_used 5369.0 	retained_memory_used 5366.0 	retained_max_memory_used 5366.0
time 2021-06-24 03:18:35.041612 	memory 5381.0 	max_memory_used 5381.0 	retained_memory_used 5378.0 	retained_max_memory_used 5378.0
time 2021-06-24 03:18:35.041925 	memory 5385.0 	max_memory_used 5385.0 	retained_memory_used 5382.0 	retained_max_memory_used 5382.0
time 2021-06-24 03:18:35.042256 	memory 5399.0 	max_memory_used 5399.0 	retained_memory_used 5396.0 	retained_max_memory_used 5396.0
time 2021-06-24 03:18:35.042605 	memory 5407.0 	max_memory_used 5407.0 	retained_memory_used 5404.0 	retained_max_memory_used 5404.0
time 2021-06-24 03:18:35.042985 	memory 5411.0 	max_memory_used 5411.0 	retained_memory_used 5408.0 	retained_max_memory_used 5408.0
time 2021-06-24 03:18:35.043706 	memory 5425.0 	max_memory_used 5425.0 	retained_memory_used 5422.0 	retained_max_memory_used 5422.0
time 2021-06-24 03:18:35.044739 	memory 5431.0 	max_memory_used 5431.0 	retained_memory_used 5428.0 	retained_max_memory_used 5428.0
time 2021-06-24 03:18:35.045566 	memory 5437.0 	max_memory_used 5437.0 	retained_memory_used 5434.0 	retained_max_memory_used 5434.0
time 2021-06-24 03:18:35.045916 	memory 5451.0 	max_memory_used 5451.0 	retained_memory_used 5448.0 	retained_max_memory_used 5448.0
time 2021-06-24 03:18:35.046146 	memory 5459.0 	max_memory_used 5459.0 	retained_memory_used 5456.0 	retained_max_memory_used 5456.0
time 2021-06-24 03:18:35.047832 	memory 5467.0 	max_memory_used 5467.0 	retained_memory_used 5464.0 	retained_max_memory_used 5464.0
time 2021-06-24 03:18:35.048202 	memory 5475.0 	max_memory_used 5475.0 	retained_memory_used 5472.0 	retained_max_memory_used 5472.0
time 2021-06-24 03:18:35.048468 	memory 5477.0 	max_memory_used 5477.0 	retained_memory_used 5474.0 	retained_max_memory_used 5474.0
time 2021-06-24 03:18:35.048946 	memory 5485.0 	max_memory_used 5485.0 	retained_memory_used 5482.0 	retained_max_memory_used 5482.0
time 2021-06-24 03:18:35.050157 	memory 5501.0 	max_memory_used 5501.0 	retained_memory_used 5498.0 	retained_max_memory_used 5498.0
time 2021-06-24 03:18:35.050397 	memory 5509.0 	max_memory_used 5509.0 	retained_memory_used 5506.0 	retained_max_memory_used 5506.0
time 2021-06-24 03:18:35.051026 	memory 5535.0 	max_memory_used 5535.0 	retained_memory_used 5532.0 	retained_max_memory_used 5532.0
time 2021-06-24 03:18:35.051405 	memory 5539.0 	max_memory_used 5539.0 	retained_memory_used 5536.0 	retained_max_memory_used 5536.0
time 2021-06-24 03:18:35.051808 	memory 5553.0 	max_memory_used 5553.0 	retained_memory_used 5550.0 	retained_max_memory_used 5550.0
time 2021-06-24 03:18:35.053323 	memory 5579.0 	max_memory_used 5579.0 	retained_memory_used 5576.0 	retained_max_memory_used 5576.0
time 2021-06-24 03:18:35.054467 	memory 5595.0 	max_memory_used 5595.0 	retained_memory_used 5592.0 	retained_max_memory_used 5592.0
time 2021-06-24 03:18:35.054718 	memory 5599.0 	max_memory_used 5599.0 	retained_memory_used 5596.0 	retained_max_memory_used 5596.0
time 2021-06-24 03:18:35.055259 	memory 5625.0 	max_memory_used 5625.0 	retained_memory_used 5622.0 	retained_max_memory_used 5622.0
time 2021-06-24 03:18:35.055749 	memory 5627.0 	max_memory_used 5627.0 	retained_memory_used 5624.0 	retained_max_memory_used 5624.0
time 2021-06-24 03:18:35.070423 	memory 5739.0 	max_memory_used 5739.0 	retained_memory_used 5736.0 	retained_max_memory_used 5736.0
time 2021-06-24 03:18:36.388657 	memory 5809.0 	max_memory_used 5809.0 	retained_memory_used 5806.0 	retained_max_memory_used 5806.0
time 2021-06-24 03:18:36.388995 	memory 5813.0 	max_memory_used 5813.0 	retained_memory_used 5810.0 	retained_max_memory_used 5810.0
time 2021-06-24 03:18:36.390197 	memory 5823.0 	max_memory_used 5823.0 	retained_memory_used 5820.0 	retained_max_memory_used 5820.0
time 2021-06-24 03:18:36.391778 	memory 5827.0 	max_memory_used 5827.0 	retained_memory_used 5824.0 	retained_max_memory_used 5824.0
time 2021-06-24 03:18:36.392161 	memory 5853.0 	max_memory_used 5853.0 	retained_memory_used 5850.0 	retained_max_memory_used 5850.0
time 2021-06-24 03:18:36.405859 	memory 5871.0 	max_memory_used 5871.0 	retained_memory_used 5868.0 	retained_max_memory_used 5868.0
time 2021-06-24 03:18:36.429156 	memory 5873.0 	max_memory_used 5873.0 	retained_memory_used 5870.0 	retained_max_memory_used 5870.0
time 2021-06-24 03:18:36.431416 	memory 5877.0 	max_memory_used 5877.0 	retained_memory_used 5874.0 	retained_max_memory_used 5874.0
time 2021-06-24 03:18:36.434340 	memory 5885.0 	max_memory_used 5885.0 	retained_memory_used 5882.0 	retained_max_memory_used 5882.0
time 2021-06-24 03:18:36.435036 	memory 5893.0 	max_memory_used 5893.0 	retained_memory_used 5890.0 	retained_max_memory_used 5890.0
time 2021-06-24 03:18:36.444137 	memory 5897.0 	max_memory_used 5897.0 	retained_memory_used 5894.0 	retained_max_memory_used 5894.0
time 2021-06-24 03:18:36.446875 	memory 5905.0 	max_memory_used 5905.0 	retained_memory_used 5902.0 	retained_max_memory_used 5902.0
time 2021-06-24 03:18:36.447239 	memory 5913.0 	max_memory_used 5913.0 	retained_memory_used 5910.0 	retained_max_memory_used 5910.0
time 2021-06-24 03:18:36.451963 	memory 5915.0 	max_memory_used 5915.0 	retained_memory_used 5912.0 	retained_max_memory_used 5912.0
time 2021-06-24 03:18:36.452540 	memory 5917.0 	max_memory_used 5917.0 	retained_memory_used 5914.0 	retained_max_memory_used 5914.0
time 2021-06-24 03:18:36.452750 	memory 5927.0 	max_memory_used 5927.0 	retained_memory_used 5924.0 	retained_max_memory_used 5924.0
time 2021-06-24 03:18:36.453627 	memory 5931.0 	max_memory_used 5931.0 	retained_memory_used 5928.0 	retained_max_memory_used 5928.0
time 2021-06-24 03:18:36.453988 	memory 5957.0 	max_memory_used 5957.0 	retained_memory_used 5954.0 	retained_max_memory_used 5954.0
time 2021-06-24 03:18:36.454216 	memory 5961.0 	max_memory_used 5961.0 	retained_memory_used 5958.0 	retained_max_memory_used 5958.0
time 2021-06-24 03:18:36.457644 	memory 5971.0 	max_memory_used 5971.0 	retained_memory_used 5968.0 	retained_max_memory_used 5968.0
time 2021-06-24 03:18:36.458219 	memory 5997.0 	max_memory_used 5997.0 	retained_memory_used 5994.0 	retained_max_memory_used 5994.0
time 2021-06-24 03:18:36.459112 	memory 6011.0 	max_memory_used 6011.0 	retained_memory_used 6008.0 	retained_max_memory_used 6008.0
time 2021-06-24 03:18:36.463031 	memory 6019.0 	max_memory_used 6019.0 	retained_memory_used 6016.0 	retained_max_memory_used 6016.0
time 2021-06-24 03:18:36.463407 	memory 6045.0 	max_memory_used 6045.0 	retained_memory_used 6042.0 	retained_max_memory_used 6042.0
time 2021-06-24 03:18:36.463692 	memory 6047.0 	max_memory_used 6047.0 	retained_memory_used 6044.0 	retained_max_memory_used 6044.0
time 2021-06-24 03:18:36.466262 	memory 6049.0 	max_memory_used 6049.0 	retained_memory_used 6046.0 	retained_max_memory_used 6046.0
time 2021-06-24 03:18:36.466771 	memory 6053.0 	max_memory_used 6053.0 	retained_memory_used 6050.0 	retained_max_memory_used 6050.0
time 2021-06-24 03:18:36.467135 	memory 6079.0 	max_memory_used 6079.0 	retained_memory_used 6076.0 	retained_max_memory_used 6076.0
