time 2021-06-24 21:11:30.173151 	memory 564.0 	max_memory_used 564.0 	retained_memory_used 561.0 	retained_max_memory_used 561.0
time 2021-06-24 21:11:30.407832 	memory 570.0 	max_memory_used 570.0 	retained_memory_used 567.0 	retained_max_memory_used 567.0
time 2021-06-24 21:11:30.409171 	memory 578.0 	max_memory_used 578.0 	retained_memory_used 575.0 	retained_max_memory_used 575.0
time 2021-06-24 21:11:30.413771 	memory 582.0 	max_memory_used 582.0 	retained_memory_used 579.0 	retained_max_memory_used 579.0
time 2021-06-24 21:11:30.414140 	memory 586.0 	max_memory_used 586.0 	retained_memory_used 583.0 	retained_max_memory_used 583.0
time 2021-06-24 21:11:30.414462 	memory 590.0 	max_memory_used 590.0 	retained_memory_used 587.0 	retained_max_memory_used 587.0
time 2021-06-24 21:11:30.414824 	memory 594.0 	max_memory_used 594.0 	retained_memory_used 591.0 	retained_max_memory_used 591.0
time 2021-06-24 21:11:30.434276 	memory 598.0 	max_memory_used 598.0 	retained_memory_used 595.0 	retained_max_memory_used 595.0
time 2021-06-24 21:11:30.442741 	memory 600.0 	max_memory_used 600.0 	retained_memory_used 597.0 	retained_max_memory_used 597.0
time 2021-06-24 21:11:30.443103 	memory 604.0 	max_memory_used 604.0 	retained_memory_used 601.0 	retained_max_memory_used 601.0
time 2021-06-24 21:11:30.443438 	memory 608.0 	max_memory_used 608.0 	retained_memory_used 605.0 	retained_max_memory_used 605.0
time 2021-06-24 21:11:30.443772 	memory 612.0 	max_memory_used 612.0 	retained_memory_used 609.0 	retained_max_memory_used 609.0
time 2021-06-24 21:11:30.469441 	memory 614.0 	max_memory_used 614.0 	retained_memory_used 611.0 	retained_max_memory_used 611.0
time 2021-06-24 21:11:30.472686 	memory 618.0 	max_memory_used 618.0 	retained_memory_used 615.0 	retained_max_memory_used 615.0
time 2021-06-24 21:11:30.473140 	memory 624.0 	max_memory_used 624.0 	retained_memory_used 621.0 	retained_max_memory_used 621.0
time 2021-06-24 21:11:30.497586 	memory 626.0 	max_memory_used 626.0 	retained_memory_used 623.0 	retained_max_memory_used 623.0
time 2021-06-24 21:11:30.500289 	memory 630.0 	max_memory_used 630.0 	retained_memory_used 627.0 	retained_max_memory_used 627.0
time 2021-06-24 21:11:30.501710 	memory 636.0 	max_memory_used 636.0 	retained_memory_used 633.0 	retained_max_memory_used 633.0
time 2021-06-24 21:11:30.567735 	memory 638.0 	max_memory_used 638.0 	retained_memory_used 635.0 	retained_max_memory_used 635.0
time 2021-06-24 21:11:30.580874 	memory 640.0 	max_memory_used 640.0 	retained_memory_used 637.0 	retained_max_memory_used 637.0
time 2021-06-24 21:11:30.581221 	memory 642.0 	max_memory_used 642.0 	retained_memory_used 639.0 	retained_max_memory_used 639.0
time 2021-06-24 21:11:30.581562 	memory 644.0 	max_memory_used 644.0 	retained_memory_used 641.0 	retained_max_memory_used 641.0
time 2021-06-24 21:11:30.585634 	memory 648.0 	max_memory_used 648.0 	retained_memory_used 645.0 	retained_max_memory_used 645.0
time 2021-06-24 21:11:30.600387 	memory 650.0 	max_memory_used 650.0 	retained_memory_used 647.0 	retained_max_memory_used 647.0
time 2021-06-24 21:11:30.612474 	memory 656.0 	max_memory_used 656.0 	retained_memory_used 653.0 	retained_max_memory_used 653.0
