time 2021-06-24 17:05:56.097436 	memory 3720.0 	max_memory_used 3720.0 	retained_memory_used 3717.0 	retained_max_memory_used 3717.0
time 2021-06-24 17:05:56.099351 	memory 4080.0 	max_memory_used 4080.0 	retained_memory_used 4077.0 	retained_max_memory_used 4077.0
time 2021-06-24 17:05:56.175915 	memory 4274.0 	max_memory_used 4274.0 	retained_memory_used 4271.0 	retained_max_memory_used 4271.0
time 2021-06-24 17:05:57.067886 	memory 4458.0 	max_memory_used 4458.0 	retained_memory_used 4455.0 	retained_max_memory_used 4455.0
time 2021-06-24 17:05:57.068652 	memory 4462.0 	max_memory_used 4462.0 	retained_memory_used 4459.0 	retained_max_memory_used 4459.0
time 2021-06-24 17:05:57.098920 	memory 4552.0 	max_memory_used 4552.0 	retained_memory_used 4549.0 	retained_max_memory_used 4549.0
time 2021-06-24 17:05:59.695159 	memory 4562.0 	max_memory_used 4562.0 	retained_memory_used 4559.0 	retained_max_memory_used 4559.0
time 2021-06-24 17:05:59.696410 	memory 4564.0 	max_memory_used 4564.0 	retained_memory_used 4561.0 	retained_max_memory_used 4561.0
time 2021-06-24 17:05:59.714209 	memory 4568.0 	max_memory_used 4568.0 	retained_memory_used 4565.0 	retained_max_memory_used 4565.0
time 2021-06-24 17:05:59.745919 	memory 4586.0 	max_memory_used 4586.0 	retained_memory_used 4583.0 	retained_max_memory_used 4583.0
time 2021-06-24 17:05:59.747243 	memory 4588.0 	max_memory_used 4588.0 	retained_memory_used 4585.0 	retained_max_memory_used 4585.0
time 2021-06-24 17:05:59.765008 	memory 4594.0 	max_memory_used 4594.0 	retained_memory_used 4591.0 	retained_max_memory_used 4591.0
time 2021-06-24 17:05:59.790732 	memory 4610.0 	max_memory_used 4610.0 	retained_memory_used 4607.0 	retained_max_memory_used 4607.0
time 2021-06-24 17:05:59.814998 	memory 4624.0 	max_memory_used 4624.0 	retained_memory_used 4621.0 	retained_max_memory_used 4621.0
time 2021-06-24 17:05:59.815802 	memory 4626.0 	max_memory_used 4626.0 	retained_memory_used 4623.0 	retained_max_memory_used 4623.0
time 2021-06-24 17:05:59.958808 	memory 4692.0 	max_memory_used 4692.0 	retained_memory_used 4689.0 	retained_max_memory_used 4689.0
time 2021-06-24 17:05:59.959203 	memory 4694.0 	max_memory_used 4694.0 	retained_memory_used 4691.0 	retained_max_memory_used 4691.0
time 2021-06-24 17:05:59.962450 	memory 4696.0 	max_memory_used 4696.0 	retained_memory_used 4693.0 	retained_max_memory_used 4693.0
time 2021-06-24 17:05:59.985253 	memory 4710.0 	max_memory_used 4710.0 	retained_memory_used 4707.0 	retained_max_memory_used 4707.0
time 2021-06-24 17:05:59.985822 	memory 4714.0 	max_memory_used 4714.0 	retained_memory_used 4711.0 	retained_max_memory_used 4711.0
time 2021-06-24 17:06:00.011944 	memory 4748.0 	max_memory_used 4748.0 	retained_memory_used 4745.0 	retained_max_memory_used 4745.0
time 2021-06-24 17:06:00.012452 	memory 4752.0 	max_memory_used 4752.0 	retained_memory_used 4749.0 	retained_max_memory_used 4749.0
time 2021-06-24 17:06:00.013271 	memory 4756.0 	max_memory_used 4756.0 	retained_memory_used 4753.0 	retained_max_memory_used 4753.0
time 2021-06-24 17:06:04.723086 	memory 4766.0 	max_memory_used 4766.0 	retained_memory_used 4763.0 	retained_max_memory_used 4763.0
time 2021-06-24 17:06:04.723605 	memory 4772.0 	max_memory_used 4772.0 	retained_memory_used 4769.0 	retained_max_memory_used 4769.0
time 2021-06-24 17:06:04.725446 	memory 4778.0 	max_memory_used 4778.0 	retained_memory_used 4775.0 	retained_max_memory_used 4775.0
time 2021-06-24 17:06:04.749751 	memory 4782.0 	max_memory_used 4782.0 	retained_memory_used 4779.0 	retained_max_memory_used 4779.0
time 2021-06-24 17:06:23.504791 	memory 4790.0 	max_memory_used 4790.0 	retained_memory_used 4787.0 	retained_max_memory_used 4787.0
time 2021-06-24 17:06:23.508511 	memory 4792.0 	max_memory_used 4792.0 	retained_memory_used 4789.0 	retained_max_memory_used 4789.0
time 2021-06-24 17:06:28.107049 	memory 4796.0 	max_memory_used 4796.0 	retained_memory_used 4793.0 	retained_max_memory_used 4793.0
time 2021-06-24 17:06:28.125941 	memory 4832.0 	max_memory_used 4832.0 	retained_memory_used 4829.0 	retained_max_memory_used 4829.0
time 2021-06-24 17:06:28.129878 	memory 4840.0 	max_memory_used 4840.0 	retained_memory_used 4837.0 	retained_max_memory_used 4837.0
time 2021-06-24 17:06:28.130391 	memory 4844.0 	max_memory_used 4844.0 	retained_memory_used 4841.0 	retained_max_memory_used 4841.0
time 2021-06-24 17:06:32.902749 	memory 4846.0 	max_memory_used 4846.0 	retained_memory_used 4843.0 	retained_max_memory_used 4843.0
time 2021-06-24 17:06:37.599874 	memory 4858.0 	max_memory_used 4858.0 	retained_memory_used 4855.0 	retained_max_memory_used 4855.0
time 2021-06-24 17:06:37.601124 	memory 4860.0 	max_memory_used 4860.0 	retained_memory_used 4857.0 	retained_max_memory_used 4857.0
time 2021-06-24 17:06:37.601775 	memory 4862.0 	max_memory_used 4862.0 	retained_memory_used 4859.0 	retained_max_memory_used 4859.0
time 2021-06-24 17:06:37.612026 	memory 4886.0 	max_memory_used 4886.0 	retained_memory_used 4883.0 	retained_max_memory_used 4883.0
time 2021-06-24 17:06:37.612375 	memory 4890.0 	max_memory_used 4890.0 	retained_memory_used 4887.0 	retained_max_memory_used 4887.0
time 2021-06-24 17:06:37.614161 	memory 4894.0 	max_memory_used 4894.0 	retained_memory_used 4891.0 	retained_max_memory_used 4891.0
time 2021-06-24 17:06:37.615231 	memory 4898.0 	max_memory_used 4898.0 	retained_memory_used 4895.0 	retained_max_memory_used 4895.0
time 2021-06-24 17:06:37.615605 	memory 4906.0 	max_memory_used 4906.0 	retained_memory_used 4903.0 	retained_max_memory_used 4903.0
