time 2021-06-24 12:34:31.675210 	memory 4507.0 	max_memory_used 4507.0 	retained_memory_used 4504.0 	retained_max_memory_used 4504.0
time 2021-06-24 12:34:31.675854 	memory 4515.0 	max_memory_used 4515.0 	retained_memory_used 4512.0 	retained_max_memory_used 4512.0
time 2021-06-24 12:34:31.676618 	memory 4517.0 	max_memory_used 4517.0 	retained_memory_used 4514.0 	retained_max_memory_used 4514.0
time 2021-06-24 12:34:31.677175 	memory 4519.0 	max_memory_used 4519.0 	retained_memory_used 4516.0 	retained_max_memory_used 4516.0
time 2021-06-24 12:34:31.677698 	memory 4521.0 	max_memory_used 4521.0 	retained_memory_used 4518.0 	retained_max_memory_used 4518.0
time 2021-06-24 12:34:32.708763 	memory 4771.0 	max_memory_used 4771.0 	retained_memory_used 4768.0 	retained_max_memory_used 4768.0
time 2021-06-24 12:34:32.709102 	memory 4775.0 	max_memory_used 4775.0 	retained_memory_used 4772.0 	retained_max_memory_used 4772.0
time 2021-06-24 12:34:33.783663 	memory 4805.0 	max_memory_used 4805.0 	retained_memory_used 4802.0 	retained_max_memory_used 4802.0
time 2021-06-24 12:34:33.784013 	memory 4815.0 	max_memory_used 4815.0 	retained_memory_used 4812.0 	retained_max_memory_used 4812.0
time 2021-06-24 12:34:34.858615 	memory 4931.0 	max_memory_used 4931.0 	retained_memory_used 4928.0 	retained_max_memory_used 4928.0
time 2021-06-24 12:34:35.982786 	memory 5129.0 	max_memory_used 5129.0 	retained_memory_used 5126.0 	retained_max_memory_used 5126.0
time 2021-06-24 12:34:35.983198 	memory 5131.0 	max_memory_used 5131.0 	retained_memory_used 5128.0 	retained_max_memory_used 5128.0
time 2021-06-24 12:34:37.066268 	memory 5139.0 	max_memory_used 5139.0 	retained_memory_used 5136.0 	retained_max_memory_used 5136.0
time 2021-06-24 12:34:37.066633 	memory 5143.0 	max_memory_used 5143.0 	retained_memory_used 5140.0 	retained_max_memory_used 5140.0
time 2021-06-24 12:34:37.135396 	memory 5177.0 	max_memory_used 5177.0 	retained_memory_used 5174.0 	retained_max_memory_used 5174.0
time 2021-06-24 12:34:38.191720 	memory 5243.0 	max_memory_used 5243.0 	retained_memory_used 5240.0 	retained_max_memory_used 5240.0
time 2021-06-24 12:34:38.192092 	memory 5247.0 	max_memory_used 5247.0 	retained_memory_used 5244.0 	retained_max_memory_used 5244.0
time 2021-06-24 12:34:38.219524 	memory 5463.0 	max_memory_used 5463.0 	retained_memory_used 5460.0 	retained_max_memory_used 5460.0
time 2021-06-24 12:34:38.219776 	memory 5467.0 	max_memory_used 5467.0 	retained_memory_used 5464.0 	retained_max_memory_used 5464.0
