time 2021-06-24 09:47:57.840619 	memory 606.0 	max_memory_used 606.0 	retained_memory_used 603.0 	retained_max_memory_used 603.0
time 2021-06-24 09:47:57.841284 	memory 610.0 	max_memory_used 610.0 	retained_memory_used 607.0 	retained_max_memory_used 607.0
time 2021-06-24 09:47:57.960463 	memory 612.0 	max_memory_used 612.0 	retained_memory_used 609.0 	retained_max_memory_used 609.0
time 2021-06-24 09:47:57.961117 	memory 618.0 	max_memory_used 618.0 	retained_memory_used 615.0 	retained_max_memory_used 615.0
time 2021-06-24 09:47:57.963290 	memory 622.0 	max_memory_used 622.0 	retained_memory_used 619.0 	retained_max_memory_used 619.0
time 2021-06-24 09:47:57.965637 	memory 628.0 	max_memory_used 628.0 	retained_memory_used 625.0 	retained_max_memory_used 625.0
time 2021-06-24 09:47:57.966097 	memory 640.0 	max_memory_used 640.0 	retained_memory_used 637.0 	retained_max_memory_used 637.0
time 2021-06-24 09:47:57.966822 	memory 652.0 	max_memory_used 652.0 	retained_memory_used 649.0 	retained_max_memory_used 649.0
time 2021-06-24 09:47:57.970187 	memory 660.0 	max_memory_used 660.0 	retained_memory_used 657.0 	retained_max_memory_used 657.0
time 2021-06-24 09:47:57.970911 	memory 668.0 	max_memory_used 668.0 	retained_memory_used 665.0 	retained_max_memory_used 665.0
time 2021-06-24 09:47:58.090116 	memory 674.0 	max_memory_used 674.0 	retained_memory_used 671.0 	retained_max_memory_used 671.0
time 2021-06-24 09:47:58.098195 	memory 1020.0 	max_memory_used 1020.0 	retained_memory_used 1017.0 	retained_max_memory_used 1017.0
time 2021-06-24 09:48:00.876666 	memory 1022.0 	max_memory_used 1022.0 	retained_memory_used 1019.0 	retained_max_memory_used 1019.0
