time 2021-06-24 14:36:40.110105 	memory 3580.0 	max_memory_used 3580.0 	retained_memory_used 3577.0 	retained_max_memory_used 3577.0
time 2021-06-24 14:36:40.110556 	memory 3584.0 	max_memory_used 3584.0 	retained_memory_used 3581.0 	retained_max_memory_used 3581.0
time 2021-06-24 14:36:40.111780 	memory 3586.0 	max_memory_used 3586.0 	retained_memory_used 3583.0 	retained_max_memory_used 3583.0
time 2021-06-24 14:36:40.397509 	memory 3768.0 	max_memory_used 3768.0 	retained_memory_used 3765.0 	retained_max_memory_used 3765.0
time 2021-06-24 14:36:40.397852 	memory 3770.0 	max_memory_used 3770.0 	retained_memory_used 3767.0 	retained_max_memory_used 3767.0
time 2021-06-24 14:36:40.399598 	memory 3772.0 	max_memory_used 3772.0 	retained_memory_used 3769.0 	retained_max_memory_used 3769.0
time 2021-06-24 14:36:40.689357 	memory 3774.0 	max_memory_used 3774.0 	retained_memory_used 3771.0 	retained_max_memory_used 3771.0
time 2021-06-24 14:36:40.690680 	memory 3776.0 	max_memory_used 3776.0 	retained_memory_used 3773.0 	retained_max_memory_used 3773.0
time 2021-06-24 14:36:40.962061 	memory 3790.0 	max_memory_used 3790.0 	retained_memory_used 3787.0 	retained_max_memory_used 3787.0
time 2021-06-24 14:36:40.963336 	memory 3792.0 	max_memory_used 3792.0 	retained_memory_used 3789.0 	retained_max_memory_used 3789.0
time 2021-06-24 14:36:42.921893 	memory 3816.0 	max_memory_used 3816.0 	retained_memory_used 3813.0 	retained_max_memory_used 3813.0
time 2021-06-24 14:36:43.825107 	memory 3874.0 	max_memory_used 3874.0 	retained_memory_used 3871.0 	retained_max_memory_used 3871.0
time 2021-06-24 14:36:58.537161 	memory 3882.0 	max_memory_used 3882.0 	retained_memory_used 3879.0 	retained_max_memory_used 3879.0
time 2021-06-24 14:36:59.272579 	memory 3884.0 	max_memory_used 3884.0 	retained_memory_used 3881.0 	retained_max_memory_used 3881.0
time 2021-06-24 14:36:59.273020 	memory 3888.0 	max_memory_used 3888.0 	retained_memory_used 3885.0 	retained_max_memory_used 3885.0
time 2021-06-24 14:36:59.273607 	memory 3890.0 	max_memory_used 3890.0 	retained_memory_used 3887.0 	retained_max_memory_used 3887.0
time 2021-06-24 14:36:59.275423 	memory 3896.0 	max_memory_used 3896.0 	retained_memory_used 3893.0 	retained_max_memory_used 3893.0
time 2021-06-24 14:36:59.278524 	memory 3904.0 	max_memory_used 3904.0 	retained_memory_used 3901.0 	retained_max_memory_used 3901.0
time 2021-06-24 14:36:59.281328 	memory 3910.0 	max_memory_used 3910.0 	retained_memory_used 3907.0 	retained_max_memory_used 3907.0
time 2021-06-24 14:36:59.283192 	memory 3914.0 	max_memory_used 3914.0 	retained_memory_used 3911.0 	retained_max_memory_used 3911.0
time 2021-06-24 14:36:59.283483 	memory 3918.0 	max_memory_used 3918.0 	retained_memory_used 3915.0 	retained_max_memory_used 3915.0
time 2021-06-24 14:36:59.285117 	memory 3924.0 	max_memory_used 3924.0 	retained_memory_used 3921.0 	retained_max_memory_used 3921.0
time 2021-06-24 14:36:59.285861 	memory 3928.0 	max_memory_used 3928.0 	retained_memory_used 3925.0 	retained_max_memory_used 3925.0
time 2021-06-24 14:36:59.288379 	memory 3930.0 	max_memory_used 3930.0 	retained_memory_used 3927.0 	retained_max_memory_used 3927.0
time 2021-06-24 14:36:59.288893 	memory 3934.0 	max_memory_used 3934.0 	retained_memory_used 3931.0 	retained_max_memory_used 3931.0
time 2021-06-24 14:36:59.289425 	memory 3936.0 	max_memory_used 3936.0 	retained_memory_used 3933.0 	retained_max_memory_used 3933.0
time 2021-06-24 14:36:59.289749 	memory 3938.0 	max_memory_used 3938.0 	retained_memory_used 3935.0 	retained_max_memory_used 3935.0
time 2021-06-24 14:36:59.290384 	memory 3940.0 	max_memory_used 3940.0 	retained_memory_used 3937.0 	retained_max_memory_used 3937.0
time 2021-06-24 14:36:59.290850 	memory 3944.0 	max_memory_used 3944.0 	retained_memory_used 3941.0 	retained_max_memory_used 3941.0
time 2021-06-24 14:36:59.291479 	memory 3946.0 	max_memory_used 3946.0 	retained_memory_used 3943.0 	retained_max_memory_used 3943.0
time 2021-06-24 14:36:59.291752 	memory 3952.0 	max_memory_used 3952.0 	retained_memory_used 3949.0 	retained_max_memory_used 3949.0
time 2021-06-24 14:36:59.293338 	memory 3954.0 	max_memory_used 3954.0 	retained_memory_used 3951.0 	retained_max_memory_used 3951.0
time 2021-06-24 14:36:59.297018 	memory 3956.0 	max_memory_used 3956.0 	retained_memory_used 3953.0 	retained_max_memory_used 3953.0
time 2021-06-24 14:36:59.297479 	memory 3958.0 	max_memory_used 3958.0 	retained_memory_used 3955.0 	retained_max_memory_used 3955.0
