time 2021-06-24 14:33:31.657472 	memory 1896.0 	max_memory_used 1896.0 	retained_memory_used 1893.0 	retained_max_memory_used 1893.0
time 2021-06-24 14:33:31.659314 	memory 1898.0 	max_memory_used 1898.0 	retained_memory_used 1895.0 	retained_max_memory_used 1895.0
time 2021-06-24 14:33:31.660447 	memory 1900.0 	max_memory_used 1900.0 	retained_memory_used 1897.0 	retained_max_memory_used 1897.0
time 2021-06-24 14:33:31.667880 	memory 1904.0 	max_memory_used 1904.0 	retained_memory_used 1901.0 	retained_max_memory_used 1901.0
time 2021-06-24 14:33:31.668603 	memory 1916.0 	max_memory_used 1916.0 	retained_memory_used 1913.0 	retained_max_memory_used 1913.0
time 2021-06-24 14:33:31.668938 	memory 1920.0 	max_memory_used 1920.0 	retained_memory_used 1917.0 	retained_max_memory_used 1917.0
time 2021-06-24 14:33:31.669296 	memory 1932.0 	max_memory_used 1932.0 	retained_memory_used 1929.0 	retained_max_memory_used 1929.0
time 2021-06-24 14:33:31.735879 	memory 1934.0 	max_memory_used 1934.0 	retained_memory_used 1931.0 	retained_max_memory_used 1931.0
time 2021-06-24 14:33:31.736846 	memory 1938.0 	max_memory_used 1938.0 	retained_memory_used 1935.0 	retained_max_memory_used 1935.0
time 2021-06-24 14:33:31.751794 	memory 1940.0 	max_memory_used 1940.0 	retained_memory_used 1937.0 	retained_max_memory_used 1937.0
time 2021-06-24 14:33:31.752697 	memory 1948.0 	max_memory_used 1948.0 	retained_memory_used 1945.0 	retained_max_memory_used 1945.0
time 2021-06-24 14:33:31.753322 	memory 1954.0 	max_memory_used 1954.0 	retained_memory_used 1951.0 	retained_max_memory_used 1951.0
time 2021-06-24 14:33:31.845867 	memory 1956.0 	max_memory_used 1956.0 	retained_memory_used 1953.0 	retained_max_memory_used 1953.0
time 2021-06-24 14:33:31.849476 	memory 1962.0 	max_memory_used 1962.0 	retained_memory_used 1959.0 	retained_max_memory_used 1959.0
time 2021-06-24 14:33:31.852105 	memory 1980.0 	max_memory_used 1980.0 	retained_memory_used 1977.0 	retained_max_memory_used 1977.0
time 2021-06-24 14:33:31.852522 	memory 1982.0 	max_memory_used 1982.0 	retained_memory_used 1979.0 	retained_max_memory_used 1979.0
time 2021-06-24 14:33:31.862589 	memory 2336.0 	max_memory_used 2336.0 	retained_memory_used 2333.0 	retained_max_memory_used 2333.0
time 2021-06-24 14:33:32.057924 	memory 2384.0 	max_memory_used 2384.0 	retained_memory_used 2381.0 	retained_max_memory_used 2381.0
time 2021-06-24 14:33:34.102599 	memory 2386.0 	max_memory_used 2386.0 	retained_memory_used 2383.0 	retained_max_memory_used 2383.0
time 2021-06-24 14:33:34.105179 	memory 2390.0 	max_memory_used 2390.0 	retained_memory_used 2387.0 	retained_max_memory_used 2387.0
time 2021-06-24 14:33:35.120019 	memory 2394.0 	max_memory_used 2394.0 	retained_memory_used 2391.0 	retained_max_memory_used 2391.0
time 2021-06-24 14:33:35.121363 	memory 2396.0 	max_memory_used 2396.0 	retained_memory_used 2393.0 	retained_max_memory_used 2393.0
time 2021-06-24 14:33:36.097349 	memory 2418.0 	max_memory_used 2418.0 	retained_memory_used 2415.0 	retained_max_memory_used 2415.0
time 2021-06-24 14:33:37.169760 	memory 2430.0 	max_memory_used 2430.0 	retained_memory_used 2427.0 	retained_max_memory_used 2427.0
time 2021-06-24 14:33:40.376593 	memory 2434.0 	max_memory_used 2434.0 	retained_memory_used 2431.0 	retained_max_memory_used 2431.0
time 2021-06-24 14:33:40.378281 	memory 2436.0 	max_memory_used 2436.0 	retained_memory_used 2433.0 	retained_max_memory_used 2433.0
time 2021-06-24 14:33:40.457309 	memory 2442.0 	max_memory_used 2442.0 	retained_memory_used 2439.0 	retained_max_memory_used 2439.0
time 2021-06-24 14:33:40.458210 	memory 2444.0 	max_memory_used 2444.0 	retained_memory_used 2441.0 	retained_max_memory_used 2441.0
time 2021-06-24 14:33:41.424225 	memory 2456.0 	max_memory_used 2456.0 	retained_memory_used 2453.0 	retained_max_memory_used 2453.0
time 2021-06-24 14:33:41.424525 	memory 2458.0 	max_memory_used 2458.0 	retained_memory_used 2455.0 	retained_max_memory_used 2455.0
