time 2021-06-24 16:39:49.694991 	memory 2068.0 	max_memory_used 2068.0 	retained_memory_used 2065.0 	retained_max_memory_used 2065.0
time 2021-06-24 16:39:49.695958 	memory 2070.0 	max_memory_used 2070.0 	retained_memory_used 2067.0 	retained_max_memory_used 2067.0
time 2021-06-24 16:39:49.699509 	memory 2074.0 	max_memory_used 2074.0 	retained_memory_used 2071.0 	retained_max_memory_used 2071.0
time 2021-06-24 16:39:49.750646 	memory 2396.0 	max_memory_used 2396.0 	retained_memory_used 2393.0 	retained_max_memory_used 2393.0
time 2021-06-24 16:39:49.782030 	memory 2400.0 	max_memory_used 2400.0 	retained_memory_used 2397.0 	retained_max_memory_used 2397.0
time 2021-06-24 16:39:50.003577 	memory 2416.0 	max_memory_used 2416.0 	retained_memory_used 2413.0 	retained_max_memory_used 2413.0
time 2021-06-24 16:39:50.139646 	memory 2714.0 	max_memory_used 2714.0 	retained_memory_used 2711.0 	retained_max_memory_used 2711.0
time 2021-06-24 16:39:50.197798 	memory 2738.0 	max_memory_used 2738.0 	retained_memory_used 2735.0 	retained_max_memory_used 2735.0
time 2021-06-24 16:39:50.198227 	memory 2744.0 	max_memory_used 2744.0 	retained_memory_used 2741.0 	retained_max_memory_used 2741.0
time 2021-06-24 16:39:50.497873 	memory 2746.0 	max_memory_used 2746.0 	retained_memory_used 2743.0 	retained_max_memory_used 2743.0
time 2021-06-24 16:39:50.498153 	memory 2754.0 	max_memory_used 2754.0 	retained_memory_used 2751.0 	retained_max_memory_used 2751.0
time 2021-06-24 16:39:50.639591 	memory 2756.0 	max_memory_used 2756.0 	retained_memory_used 2753.0 	retained_max_memory_used 2753.0
time 2021-06-24 16:39:50.706575 	memory 2760.0 	max_memory_used 2760.0 	retained_memory_used 2757.0 	retained_max_memory_used 2757.0
time 2021-06-24 16:39:50.723935 	memory 2766.0 	max_memory_used 2766.0 	retained_memory_used 2763.0 	retained_max_memory_used 2763.0
time 2021-06-24 16:39:50.830450 	memory 2786.0 	max_memory_used 2786.0 	retained_memory_used 2783.0 	retained_max_memory_used 2783.0
time 2021-06-24 16:39:50.905890 	memory 2800.0 	max_memory_used 2800.0 	retained_memory_used 2797.0 	retained_max_memory_used 2797.0
time 2021-06-24 16:39:50.907145 	memory 2804.0 	max_memory_used 2804.0 	retained_memory_used 2801.0 	retained_max_memory_used 2801.0
time 2021-06-24 16:39:50.923121 	memory 2814.0 	max_memory_used 2814.0 	retained_memory_used 2811.0 	retained_max_memory_used 2811.0
time 2021-06-24 16:39:50.953295 	memory 2824.0 	max_memory_used 2824.0 	retained_memory_used 2821.0 	retained_max_memory_used 2821.0
time 2021-06-24 16:39:51.020485 	memory 3194.0 	max_memory_used 3194.0 	retained_memory_used 3191.0 	retained_max_memory_used 3191.0
time 2021-06-24 16:39:51.253815 	memory 3214.0 	max_memory_used 3214.0 	retained_memory_used 3211.0 	retained_max_memory_used 3211.0
time 2021-06-24 16:39:51.681822 	memory 3224.0 	max_memory_used 3224.0 	retained_memory_used 3221.0 	retained_max_memory_used 3221.0
time 2021-06-24 16:39:52.109412 	memory 3268.0 	max_memory_used 3268.0 	retained_memory_used 3265.0 	retained_max_memory_used 3265.0
time 2021-06-24 16:39:52.320503 	memory 3294.0 	max_memory_used 3294.0 	retained_memory_used 3291.0 	retained_max_memory_used 3291.0
time 2021-06-24 16:39:52.375030 	memory 3300.0 	max_memory_used 3300.0 	retained_memory_used 3297.0 	retained_max_memory_used 3297.0
time 2021-06-24 16:39:52.659549 	memory 3330.0 	max_memory_used 3330.0 	retained_memory_used 3327.0 	retained_max_memory_used 3327.0
time 2021-06-24 16:39:52.755233 	memory 3334.0 	max_memory_used 3334.0 	retained_memory_used 3331.0 	retained_max_memory_used 3331.0
time 2021-06-24 16:39:53.037683 	memory 3346.0 	max_memory_used 3346.0 	retained_memory_used 3343.0 	retained_max_memory_used 3343.0
time 2021-06-24 16:39:53.316881 	memory 3360.0 	max_memory_used 3360.0 	retained_memory_used 3357.0 	retained_max_memory_used 3357.0
time 2021-06-24 16:39:53.420236 	memory 3368.0 	max_memory_used 3368.0 	retained_memory_used 3365.0 	retained_max_memory_used 3365.0
time 2021-06-24 16:39:53.468974 	memory 3372.0 	max_memory_used 3372.0 	retained_memory_used 3369.0 	retained_max_memory_used 3369.0
time 2021-06-24 16:39:53.564160 	memory 3378.0 	max_memory_used 3378.0 	retained_memory_used 3375.0 	retained_max_memory_used 3375.0
time 2021-06-24 16:39:53.641272 	memory 3388.0 	max_memory_used 3388.0 	retained_memory_used 3385.0 	retained_max_memory_used 3385.0
time 2021-06-24 16:40:03.589112 	memory 3392.0 	max_memory_used 3392.0 	retained_memory_used 3389.0 	retained_max_memory_used 3389.0
time 2021-06-24 16:40:27.846893 	memory 3398.0 	max_memory_used 3398.0 	retained_memory_used 3395.0 	retained_max_memory_used 3395.0
