time 2021-06-24 15:58:52.822890 	memory 626.0 	max_memory_used 626.0 	retained_memory_used 623.0 	retained_max_memory_used 623.0
time 2021-06-24 15:58:52.868487 	memory 634.0 	max_memory_used 634.0 	retained_memory_used 631.0 	retained_max_memory_used 631.0
time 2021-06-24 15:58:52.874679 	memory 994.0 	max_memory_used 994.0 	retained_memory_used 991.0 	retained_max_memory_used 991.0
time 2021-06-24 15:58:52.916632 	memory 1000.0 	max_memory_used 1000.0 	retained_memory_used 997.0 	retained_max_memory_used 997.0
time 2021-06-24 15:58:52.957837 	memory 1008.0 	max_memory_used 1008.0 	retained_memory_used 1005.0 	retained_max_memory_used 1005.0
time 2021-06-24 15:58:52.998155 	memory 1016.0 	max_memory_used 1016.0 	retained_memory_used 1013.0 	retained_max_memory_used 1013.0
time 2021-06-24 15:58:53.042941 	memory 1028.0 	max_memory_used 1028.0 	retained_memory_used 1025.0 	retained_max_memory_used 1025.0
time 2021-06-24 15:58:53.085769 	memory 1040.0 	max_memory_used 1040.0 	retained_memory_used 1037.0 	retained_max_memory_used 1037.0
time 2021-06-24 15:58:53.143686 	memory 1052.0 	max_memory_used 1052.0 	retained_memory_used 1049.0 	retained_max_memory_used 1049.0
time 2021-06-24 15:58:53.400481 	memory 1056.0 	max_memory_used 1056.0 	retained_memory_used 1053.0 	retained_max_memory_used 1053.0
time 2021-06-24 15:58:53.439226 	memory 1060.0 	max_memory_used 1060.0 	retained_memory_used 1057.0 	retained_max_memory_used 1057.0
time 2021-06-24 15:58:53.471289 	memory 1064.0 	max_memory_used 1064.0 	retained_memory_used 1061.0 	retained_max_memory_used 1061.0
time 2021-06-24 15:58:53.502799 	memory 1068.0 	max_memory_used 1068.0 	retained_memory_used 1065.0 	retained_max_memory_used 1065.0
time 2021-06-24 15:58:53.537057 	memory 1076.0 	max_memory_used 1076.0 	retained_memory_used 1073.0 	retained_max_memory_used 1073.0
time 2021-06-24 15:58:53.783391 	memory 1078.0 	max_memory_used 1078.0 	retained_memory_used 1075.0 	retained_max_memory_used 1075.0
time 2021-06-24 15:58:53.813390 	memory 1080.0 	max_memory_used 1080.0 	retained_memory_used 1077.0 	retained_max_memory_used 1077.0
time 2021-06-24 15:58:53.842753 	memory 1082.0 	max_memory_used 1082.0 	retained_memory_used 1079.0 	retained_max_memory_used 1079.0
time 2021-06-24 15:58:53.871599 	memory 1084.0 	max_memory_used 1084.0 	retained_memory_used 1081.0 	retained_max_memory_used 1081.0
time 2021-06-24 15:58:53.899178 	memory 1086.0 	max_memory_used 1086.0 	retained_memory_used 1083.0 	retained_max_memory_used 1083.0
time 2021-06-24 15:58:53.926570 	memory 1088.0 	max_memory_used 1088.0 	retained_memory_used 1085.0 	retained_max_memory_used 1085.0
time 2021-06-24 15:58:53.954212 	memory 1092.0 	max_memory_used 1092.0 	retained_memory_used 1089.0 	retained_max_memory_used 1089.0
time 2021-06-24 15:58:53.981721 	memory 1096.0 	max_memory_used 1096.0 	retained_memory_used 1093.0 	retained_max_memory_used 1093.0
time 2021-06-24 15:58:54.009347 	memory 1100.0 	max_memory_used 1100.0 	retained_memory_used 1097.0 	retained_max_memory_used 1097.0
time 2021-06-24 15:58:54.043226 	memory 1102.0 	max_memory_used 1102.0 	retained_memory_used 1099.0 	retained_max_memory_used 1099.0
time 2021-06-24 15:58:54.172415 	memory 1104.0 	max_memory_used 1104.0 	retained_memory_used 1101.0 	retained_max_memory_used 1101.0
time 2021-06-24 15:58:54.203839 	memory 1110.0 	max_memory_used 1110.0 	retained_memory_used 1107.0 	retained_max_memory_used 1107.0
time 2021-06-24 15:58:54.240705 	memory 1116.0 	max_memory_used 1116.0 	retained_memory_used 1113.0 	retained_max_memory_used 1113.0
time 2021-06-24 15:58:54.270391 	memory 1118.0 	max_memory_used 1118.0 	retained_memory_used 1115.0 	retained_max_memory_used 1115.0
time 2021-06-24 15:58:54.375076 	memory 1120.0 	max_memory_used 1120.0 	retained_memory_used 1117.0 	retained_max_memory_used 1117.0
time 2021-06-24 15:58:54.436213 	memory 1122.0 	max_memory_used 1122.0 	retained_memory_used 1119.0 	retained_max_memory_used 1119.0
time 2021-06-24 15:58:54.482777 	memory 1124.0 	max_memory_used 1124.0 	retained_memory_used 1121.0 	retained_max_memory_used 1121.0
time 2021-06-24 15:58:54.505475 	memory 1126.0 	max_memory_used 1126.0 	retained_memory_used 1123.0 	retained_max_memory_used 1123.0
time 2021-06-24 15:58:54.528857 	memory 1128.0 	max_memory_used 1128.0 	retained_memory_used 1125.0 	retained_max_memory_used 1125.0
time 2021-06-24 15:58:54.557635 	memory 1130.0 	max_memory_used 1130.0 	retained_memory_used 1127.0 	retained_max_memory_used 1127.0
time 2021-06-24 15:58:54.585142 	memory 1134.0 	max_memory_used 1134.0 	retained_memory_used 1131.0 	retained_max_memory_used 1131.0
time 2021-06-24 15:58:54.613025 	memory 1136.0 	max_memory_used 1136.0 	retained_memory_used 1133.0 	retained_max_memory_used 1133.0
time 2021-06-24 15:58:54.644182 	memory 1138.0 	max_memory_used 1138.0 	retained_memory_used 1135.0 	retained_max_memory_used 1135.0
