time 2021-06-24 14:55:52.811259 	memory 560.0 	max_memory_used 560.0 	retained_memory_used 557.0 	retained_max_memory_used 557.0
time 2021-06-24 14:55:52.811671 	memory 570.0 	max_memory_used 570.0 	retained_memory_used 567.0 	retained_max_memory_used 567.0
time 2021-06-24 14:55:53.034042 	memory 580.0 	max_memory_used 580.0 	retained_memory_used 577.0 	retained_max_memory_used 577.0
time 2021-06-24 14:55:53.034912 	memory 620.0 	max_memory_used 620.0 	retained_memory_used 617.0 	retained_max_memory_used 617.0
time 2021-06-24 14:55:53.037238 	memory 660.0 	max_memory_used 660.0 	retained_memory_used 657.0 	retained_max_memory_used 657.0
time 2021-06-24 14:55:53.040160 	memory 664.0 	max_memory_used 664.0 	retained_memory_used 661.0 	retained_max_memory_used 661.0
time 2021-06-24 14:55:53.040479 	memory 668.0 	max_memory_used 668.0 	retained_memory_used 665.0 	retained_max_memory_used 665.0
time 2021-06-24 14:55:53.040768 	memory 672.0 	max_memory_used 672.0 	retained_memory_used 669.0 	retained_max_memory_used 669.0
time 2021-06-24 14:55:53.041390 	memory 676.0 	max_memory_used 676.0 	retained_memory_used 673.0 	retained_max_memory_used 673.0
time 2021-06-24 14:55:53.043775 	memory 718.0 	max_memory_used 718.0 	retained_memory_used 715.0 	retained_max_memory_used 715.0
time 2021-06-24 14:55:53.044440 	memory 730.0 	max_memory_used 730.0 	retained_memory_used 727.0 	retained_max_memory_used 727.0
time 2021-06-24 14:55:53.046168 	memory 732.0 	max_memory_used 732.0 	retained_memory_used 729.0 	retained_max_memory_used 729.0
time 2021-06-24 14:55:53.047048 	memory 734.0 	max_memory_used 734.0 	retained_memory_used 731.0 	retained_max_memory_used 731.0
time 2021-06-24 14:55:53.048023 	memory 736.0 	max_memory_used 736.0 	retained_memory_used 733.0 	retained_max_memory_used 733.0
time 2021-06-24 14:55:53.048933 	memory 738.0 	max_memory_used 738.0 	retained_memory_used 735.0 	retained_max_memory_used 735.0
time 2021-06-24 14:55:53.049871 	memory 740.0 	max_memory_used 740.0 	retained_memory_used 737.0 	retained_max_memory_used 737.0
time 2021-06-24 14:55:53.050741 	memory 742.0 	max_memory_used 742.0 	retained_memory_used 739.0 	retained_max_memory_used 739.0
