time 2021-06-24 18:49:49.803187 	memory 606.0 	max_memory_used 606.0 	retained_memory_used 603.0 	retained_max_memory_used 603.0
time 2021-06-24 18:49:49.803553 	memory 610.0 	max_memory_used 610.0 	retained_memory_used 607.0 	retained_max_memory_used 607.0
time 2021-06-24 18:49:50.048847 	memory 618.0 	max_memory_used 618.0 	retained_memory_used 615.0 	retained_max_memory_used 615.0
time 2021-06-24 18:49:50.055247 	memory 622.0 	max_memory_used 622.0 	retained_memory_used 619.0 	retained_max_memory_used 619.0
time 2021-06-24 18:49:50.055750 	memory 626.0 	max_memory_used 626.0 	retained_memory_used 623.0 	retained_max_memory_used 623.0
time 2021-06-24 18:49:50.056927 	memory 630.0 	max_memory_used 630.0 	retained_memory_used 627.0 	retained_max_memory_used 627.0
time 2021-06-24 18:49:50.057588 	memory 634.0 	max_memory_used 634.0 	retained_memory_used 631.0 	retained_max_memory_used 631.0
time 2021-06-24 18:49:50.060713 	memory 640.0 	max_memory_used 640.0 	retained_memory_used 637.0 	retained_max_memory_used 637.0
time 2021-06-24 18:49:50.094343 	memory 642.0 	max_memory_used 642.0 	retained_memory_used 639.0 	retained_max_memory_used 639.0
time 2021-06-24 18:49:50.105080 	memory 646.0 	max_memory_used 646.0 	retained_memory_used 643.0 	retained_max_memory_used 643.0
time 2021-06-24 18:49:50.105482 	memory 650.0 	max_memory_used 650.0 	retained_memory_used 647.0 	retained_max_memory_used 647.0
time 2021-06-24 18:49:50.105855 	memory 654.0 	max_memory_used 654.0 	retained_memory_used 651.0 	retained_max_memory_used 651.0
time 2021-06-24 18:49:50.106227 	memory 658.0 	max_memory_used 658.0 	retained_memory_used 655.0 	retained_max_memory_used 655.0
time 2021-06-24 18:49:50.133499 	memory 662.0 	max_memory_used 662.0 	retained_memory_used 659.0 	retained_max_memory_used 659.0
time 2021-06-24 18:49:50.133862 	memory 666.0 	max_memory_used 666.0 	retained_memory_used 663.0 	retained_max_memory_used 663.0
time 2021-06-24 18:49:50.136041 	memory 670.0 	max_memory_used 670.0 	retained_memory_used 667.0 	retained_max_memory_used 667.0
time 2021-06-24 18:49:50.162184 	memory 674.0 	max_memory_used 674.0 	retained_memory_used 671.0 	retained_max_memory_used 671.0
time 2021-06-24 18:49:50.241029 	memory 676.0 	max_memory_used 676.0 	retained_memory_used 673.0 	retained_max_memory_used 673.0
time 2021-06-24 18:49:50.261355 	memory 678.0 	max_memory_used 678.0 	retained_memory_used 675.0 	retained_max_memory_used 675.0
time 2021-06-24 18:49:50.272416 	memory 682.0 	max_memory_used 682.0 	retained_memory_used 679.0 	retained_max_memory_used 679.0
time 2021-06-24 18:49:50.273920 	memory 684.0 	max_memory_used 684.0 	retained_memory_used 681.0 	retained_max_memory_used 681.0
time 2021-06-24 18:49:50.274380 	memory 686.0 	max_memory_used 686.0 	retained_memory_used 683.0 	retained_max_memory_used 683.0
time 2021-06-24 18:49:50.274889 	memory 690.0 	max_memory_used 690.0 	retained_memory_used 687.0 	retained_max_memory_used 687.0
time 2021-06-24 18:49:50.275848 	memory 694.0 	max_memory_used 694.0 	retained_memory_used 691.0 	retained_max_memory_used 691.0
