time 2021-06-24 17:44:56.026325 	memory 832.0 	max_memory_used 832.0 	retained_memory_used 829.0 	retained_max_memory_used 829.0
time 2021-06-24 17:44:56.026723 	memory 852.0 	max_memory_used 852.0 	retained_memory_used 849.0 	retained_max_memory_used 849.0
time 2021-06-24 17:44:57.041717 	memory 1244.0 	max_memory_used 1244.0 	retained_memory_used 1241.0 	retained_max_memory_used 1241.0
time 2021-06-24 17:44:57.043652 	memory 1636.0 	max_memory_used 1636.0 	retained_memory_used 1633.0 	retained_max_memory_used 1633.0
time 2021-06-24 17:44:57.044569 	memory 1646.0 	max_memory_used 1646.0 	retained_memory_used 1643.0 	retained_max_memory_used 1643.0
time 2021-06-24 17:44:57.045956 	memory 2038.0 	max_memory_used 2038.0 	retained_memory_used 2035.0 	retained_max_memory_used 2035.0
time 2021-06-24 17:44:57.046355 	memory 2054.0 	max_memory_used 2054.0 	retained_memory_used 2051.0 	retained_max_memory_used 2051.0
time 2021-06-24 17:44:57.053931 	memory 2446.0 	max_memory_used 2446.0 	retained_memory_used 2443.0 	retained_max_memory_used 2443.0
time 2021-06-24 17:44:57.054397 	memory 2510.0 	max_memory_used 2510.0 	retained_memory_used 2507.0 	retained_max_memory_used 2507.0
time 2021-06-24 17:44:57.056540 	memory 2608.0 	max_memory_used 2608.0 	retained_memory_used 2605.0 	retained_max_memory_used 2605.0
time 2021-06-24 17:44:57.058188 	memory 2804.0 	max_memory_used 2804.0 	retained_memory_used 2801.0 	retained_max_memory_used 2801.0
time 2021-06-24 17:44:57.060265 	memory 2890.0 	max_memory_used 2890.0 	retained_memory_used 2887.0 	retained_max_memory_used 2887.0
time 2021-06-24 17:44:57.060715 	memory 2954.0 	max_memory_used 2954.0 	retained_memory_used 2951.0 	retained_max_memory_used 2951.0
time 2021-06-24 17:44:57.068702 	memory 3260.0 	max_memory_used 3260.0 	retained_memory_used 3257.0 	retained_max_memory_used 3257.0
time 2021-06-24 17:44:57.070042 	memory 3456.0 	max_memory_used 3456.0 	retained_memory_used 3453.0 	retained_max_memory_used 3453.0
time 2021-06-24 17:44:57.071498 	memory 3652.0 	max_memory_used 3652.0 	retained_memory_used 3649.0 	retained_max_memory_used 3649.0
time 2021-06-24 17:44:57.072800 	memory 3790.0 	max_memory_used 3790.0 	retained_memory_used 3787.0 	retained_max_memory_used 3787.0
time 2021-06-24 17:44:57.106364 	memory 3848.0 	max_memory_used 3848.0 	retained_memory_used 3845.0 	retained_max_memory_used 3845.0
time 2021-06-24 17:44:57.109257 	memory 3898.0 	max_memory_used 3898.0 	retained_memory_used 3895.0 	retained_max_memory_used 3895.0
time 2021-06-24 17:44:57.110176 	memory 3996.0 	max_memory_used 3996.0 	retained_memory_used 3993.0 	retained_max_memory_used 3993.0
time 2021-06-24 17:44:57.110736 	memory 4236.0 	max_memory_used 4236.0 	retained_memory_used 4233.0 	retained_max_memory_used 4233.0
time 2021-06-24 17:44:57.117081 	memory 4602.0 	max_memory_used 4602.0 	retained_memory_used 4599.0 	retained_max_memory_used 4599.0
time 2021-06-24 17:44:57.119402 	memory 4994.0 	max_memory_used 4994.0 	retained_memory_used 4991.0 	retained_max_memory_used 4991.0
time 2021-06-24 17:44:57.127204 	memory 5190.0 	max_memory_used 5190.0 	retained_memory_used 5187.0 	retained_max_memory_used 5187.0
time 2021-06-24 17:44:57.171401 	memory 5602.0 	max_memory_used 5602.0 	retained_memory_used 5599.0 	retained_max_memory_used 5599.0
time 2021-06-24 17:44:57.180927 	memory 6280.0 	max_memory_used 6280.0 	retained_memory_used 6277.0 	retained_max_memory_used 6277.0
time 2021-06-24 17:44:57.198778 	memory 6772.0 	max_memory_used 6772.0 	retained_memory_used 6769.0 	retained_max_memory_used 6769.0
