time 2021-06-24 14:45:35.418909 	memory 2320.0 	max_memory_used 2320.0 	retained_memory_used 2317.0 	retained_max_memory_used 2317.0
time 2021-06-24 14:45:35.419425 	memory 2328.0 	max_memory_used 2328.0 	retained_memory_used 2325.0 	retained_max_memory_used 2325.0
time 2021-06-24 14:45:35.419639 	memory 2332.0 	max_memory_used 2332.0 	retained_memory_used 2329.0 	retained_max_memory_used 2329.0
time 2021-06-24 14:45:35.420780 	memory 2336.0 	max_memory_used 2336.0 	retained_memory_used 2333.0 	retained_max_memory_used 2333.0
time 2021-06-24 14:45:35.421933 	memory 2340.0 	max_memory_used 2340.0 	retained_memory_used 2337.0 	retained_max_memory_used 2337.0
time 2021-06-24 14:45:35.561062 	memory 2828.0 	max_memory_used 2828.0 	retained_memory_used 2825.0 	retained_max_memory_used 2825.0
time 2021-06-24 14:45:35.562479 	memory 2832.0 	max_memory_used 2832.0 	retained_memory_used 2829.0 	retained_max_memory_used 2829.0
time 2021-06-24 14:45:36.441566 	memory 2834.0 	max_memory_used 2834.0 	retained_memory_used 2831.0 	retained_max_memory_used 2831.0
time 2021-06-24 14:45:36.442564 	memory 2836.0 	max_memory_used 2836.0 	retained_memory_used 2833.0 	retained_max_memory_used 2833.0
time 2021-06-24 14:45:36.786248 	memory 2856.0 	max_memory_used 2856.0 	retained_memory_used 2853.0 	retained_max_memory_used 2853.0
time 2021-06-24 14:45:37.312985 	memory 2858.0 	max_memory_used 2858.0 	retained_memory_used 2855.0 	retained_max_memory_used 2855.0
time 2021-06-24 14:45:37.313820 	memory 2860.0 	max_memory_used 2860.0 	retained_memory_used 2857.0 	retained_max_memory_used 2857.0
time 2021-06-24 14:45:38.428720 	memory 2870.0 	max_memory_used 2870.0 	retained_memory_used 2867.0 	retained_max_memory_used 2867.0
time 2021-06-24 14:45:41.486851 	memory 2872.0 	max_memory_used 2872.0 	retained_memory_used 2869.0 	retained_max_memory_used 2869.0
time 2021-06-24 14:45:41.487600 	memory 2876.0 	max_memory_used 2876.0 	retained_memory_used 2873.0 	retained_max_memory_used 2873.0
time 2021-06-24 14:45:44.563052 	memory 2914.0 	max_memory_used 2914.0 	retained_memory_used 2911.0 	retained_max_memory_used 2911.0
time 2021-06-24 14:45:55.011850 	memory 3016.0 	max_memory_used 3016.0 	retained_memory_used 3013.0 	retained_max_memory_used 3013.0
time 2021-06-24 14:45:55.014126 	memory 3020.0 	max_memory_used 3020.0 	retained_memory_used 3017.0 	retained_max_memory_used 3017.0
time 2021-06-24 14:45:55.014616 	memory 3022.0 	max_memory_used 3022.0 	retained_memory_used 3019.0 	retained_max_memory_used 3019.0
time 2021-06-24 14:45:55.256687 	memory 3170.0 	max_memory_used 3170.0 	retained_memory_used 3167.0 	retained_max_memory_used 3167.0
