time 2021-06-24 16:30:48.251145 	memory 2969.0 	max_memory_used 2969.0 	retained_memory_used 2966.0 	retained_max_memory_used 2966.0
time 2021-06-24 16:30:48.252410 	memory 3329.0 	max_memory_used 3329.0 	retained_memory_used 3326.0 	retained_max_memory_used 3326.0
time 2021-06-24 16:30:54.791150 	memory 3331.0 	max_memory_used 3331.0 	retained_memory_used 3328.0 	retained_max_memory_used 3328.0
time 2021-06-24 16:31:01.189824 	memory 3333.0 	max_memory_used 3333.0 	retained_memory_used 3330.0 	retained_max_memory_used 3330.0
time 2021-06-24 16:31:49.198134 	memory 3339.0 	max_memory_used 3339.0 	retained_memory_used 3336.0 	retained_max_memory_used 3336.0
time 2021-06-24 16:31:54.045613 	memory 3343.0 	max_memory_used 3343.0 	retained_memory_used 3340.0 	retained_max_memory_used 3340.0
time 2021-06-24 16:31:54.073930 	memory 3349.0 	max_memory_used 3349.0 	retained_memory_used 3346.0 	retained_max_memory_used 3346.0
time 2021-06-24 16:31:54.099504 	memory 3353.0 	max_memory_used 3353.0 	retained_memory_used 3350.0 	retained_max_memory_used 3350.0
time 2021-06-24 16:31:54.127805 	memory 3359.0 	max_memory_used 3359.0 	retained_memory_used 3356.0 	retained_max_memory_used 3356.0
time 2021-06-24 16:31:54.154994 	memory 3365.0 	max_memory_used 3365.0 	retained_memory_used 3362.0 	retained_max_memory_used 3362.0
time 2021-06-24 16:31:54.183497 	memory 3371.0 	max_memory_used 3371.0 	retained_memory_used 3368.0 	retained_max_memory_used 3368.0
time 2021-06-24 16:31:54.210549 	memory 3377.0 	max_memory_used 3377.0 	retained_memory_used 3374.0 	retained_max_memory_used 3374.0
time 2021-06-24 16:31:54.237759 	memory 3383.0 	max_memory_used 3383.0 	retained_memory_used 3380.0 	retained_max_memory_used 3380.0
time 2021-06-24 16:31:54.268741 	memory 3389.0 	max_memory_used 3389.0 	retained_memory_used 3386.0 	retained_max_memory_used 3386.0
time 2021-06-24 16:31:54.298413 	memory 3395.0 	max_memory_used 3395.0 	retained_memory_used 3392.0 	retained_max_memory_used 3392.0
time 2021-06-24 16:31:54.329323 	memory 3403.0 	max_memory_used 3403.0 	retained_memory_used 3400.0 	retained_max_memory_used 3400.0
time 2021-06-24 16:31:54.359823 	memory 3411.0 	max_memory_used 3411.0 	retained_memory_used 3408.0 	retained_max_memory_used 3408.0
time 2021-06-24 16:31:54.388145 	memory 3419.0 	max_memory_used 3419.0 	retained_memory_used 3416.0 	retained_max_memory_used 3416.0
time 2021-06-24 16:31:54.418320 	memory 3427.0 	max_memory_used 3427.0 	retained_memory_used 3424.0 	retained_max_memory_used 3424.0
time 2021-06-24 16:31:54.450084 	memory 3435.0 	max_memory_used 3435.0 	retained_memory_used 3432.0 	retained_max_memory_used 3432.0
