time 2021-06-24 17:34:47.340250 	memory 1998.0 	max_memory_used 1998.0 	retained_memory_used 1995.0 	retained_max_memory_used 1995.0
time 2021-06-24 17:34:47.340649 	memory 2004.0 	max_memory_used 2004.0 	retained_memory_used 2001.0 	retained_max_memory_used 2001.0
time 2021-06-24 17:34:48.446885 	memory 2102.0 	max_memory_used 2102.0 	retained_memory_used 2099.0 	retained_max_memory_used 2099.0
time 2021-06-24 17:34:48.447993 	memory 2200.0 	max_memory_used 2200.0 	retained_memory_used 2197.0 	retained_max_memory_used 2197.0
time 2021-06-24 17:34:48.448624 	memory 2216.0 	max_memory_used 2216.0 	retained_memory_used 2213.0 	retained_max_memory_used 2213.0
time 2021-06-24 17:34:48.449222 	memory 2314.0 	max_memory_used 2314.0 	retained_memory_used 2311.0 	retained_max_memory_used 2311.0
time 2021-06-24 17:34:48.451405 	memory 2330.0 	max_memory_used 2330.0 	retained_memory_used 2327.0 	retained_max_memory_used 2327.0
time 2021-06-24 17:34:48.453474 	memory 2346.0 	max_memory_used 2346.0 	retained_memory_used 2343.0 	retained_max_memory_used 2343.0
time 2021-06-24 17:34:48.455978 	memory 2410.0 	max_memory_used 2410.0 	retained_memory_used 2407.0 	retained_max_memory_used 2407.0
time 2021-06-24 17:34:48.472110 	memory 2436.0 	max_memory_used 2436.0 	retained_memory_used 2433.0 	retained_max_memory_used 2433.0
time 2021-06-24 17:34:48.472909 	memory 2486.0 	max_memory_used 2486.0 	retained_memory_used 2483.0 	retained_max_memory_used 2483.0
time 2021-06-24 17:34:48.474229 	memory 2536.0 	max_memory_used 2536.0 	retained_memory_used 2533.0 	retained_max_memory_used 2533.0
time 2021-06-24 17:34:48.474945 	memory 2586.0 	max_memory_used 2586.0 	retained_memory_used 2583.0 	retained_max_memory_used 2583.0
time 2021-06-24 17:34:48.475322 	memory 2588.0 	max_memory_used 2588.0 	retained_memory_used 2585.0 	retained_max_memory_used 2585.0
time 2021-06-24 17:34:48.477404 	memory 2636.0 	max_memory_used 2636.0 	retained_memory_used 2633.0 	retained_max_memory_used 2633.0
time 2021-06-24 17:34:48.477986 	memory 2650.0 	max_memory_used 2650.0 	retained_memory_used 2647.0 	retained_max_memory_used 2647.0
time 2021-06-24 17:34:48.478518 	memory 2676.0 	max_memory_used 2676.0 	retained_memory_used 2673.0 	retained_max_memory_used 2673.0
time 2021-06-24 17:34:48.478882 	memory 2680.0 	max_memory_used 2680.0 	retained_memory_used 2677.0 	retained_max_memory_used 2677.0
time 2021-06-24 17:34:48.480332 	memory 2702.0 	max_memory_used 2702.0 	retained_memory_used 2699.0 	retained_max_memory_used 2699.0
time 2021-06-24 17:34:48.499103 	memory 2708.0 	max_memory_used 2708.0 	retained_memory_used 2705.0 	retained_max_memory_used 2705.0
time 2021-06-24 17:34:48.499704 	memory 2716.0 	max_memory_used 2716.0 	retained_memory_used 2713.0 	retained_max_memory_used 2713.0
time 2021-06-24 17:34:48.500289 	memory 2730.0 	max_memory_used 2730.0 	retained_memory_used 2727.0 	retained_max_memory_used 2727.0
time 2021-06-24 17:34:48.500788 	memory 2744.0 	max_memory_used 2744.0 	retained_memory_used 2741.0 	retained_max_memory_used 2741.0
time 2021-06-24 17:34:48.530462 	memory 2752.0 	max_memory_used 2752.0 	retained_memory_used 2749.0 	retained_max_memory_used 2749.0
time 2021-06-24 17:34:48.547047 	memory 2996.0 	max_memory_used 2996.0 	retained_memory_used 2993.0 	retained_max_memory_used 2993.0
time 2021-06-24 17:35:14.856324 	memory 3002.0 	max_memory_used 3002.0 	retained_memory_used 2999.0 	retained_max_memory_used 2999.0
