time 2021-06-24 18:00:30.040303 	memory 578.0 	max_memory_used 578.0 	retained_memory_used 575.0 	retained_max_memory_used 575.0
time 2021-06-24 18:00:30.040720 	memory 588.0 	max_memory_used 588.0 	retained_memory_used 585.0 	retained_max_memory_used 585.0
time 2021-06-24 18:00:30.227073 	memory 598.0 	max_memory_used 598.0 	retained_memory_used 595.0 	retained_max_memory_used 595.0
time 2021-06-24 18:00:30.234719 	memory 610.0 	max_memory_used 610.0 	retained_memory_used 607.0 	retained_max_memory_used 607.0
time 2021-06-24 18:00:30.236041 	memory 632.0 	max_memory_used 632.0 	retained_memory_used 629.0 	retained_max_memory_used 629.0
time 2021-06-24 18:00:30.237559 	memory 654.0 	max_memory_used 654.0 	retained_memory_used 651.0 	retained_max_memory_used 651.0
time 2021-06-24 18:00:30.238682 	memory 698.0 	max_memory_used 698.0 	retained_memory_used 695.0 	retained_max_memory_used 695.0
time 2021-06-24 18:00:30.240541 	memory 700.0 	max_memory_used 700.0 	retained_memory_used 697.0 	retained_max_memory_used 697.0
time 2021-06-24 18:00:30.242547 	memory 744.0 	max_memory_used 744.0 	retained_memory_used 741.0 	retained_max_memory_used 741.0
time 2021-06-24 18:00:30.244513 	memory 756.0 	max_memory_used 756.0 	retained_memory_used 753.0 	retained_max_memory_used 753.0
time 2021-06-24 18:00:30.248141 	memory 758.0 	max_memory_used 758.0 	retained_memory_used 755.0 	retained_max_memory_used 755.0
time 2021-06-24 18:00:30.249415 	memory 760.0 	max_memory_used 760.0 	retained_memory_used 757.0 	retained_max_memory_used 757.0
time 2021-06-24 18:00:30.251502 	memory 762.0 	max_memory_used 762.0 	retained_memory_used 759.0 	retained_max_memory_used 759.0
time 2021-06-24 18:00:30.252493 	memory 764.0 	max_memory_used 764.0 	retained_memory_used 761.0 	retained_max_memory_used 761.0
time 2021-06-24 18:00:30.253643 	memory 766.0 	max_memory_used 766.0 	retained_memory_used 763.0 	retained_max_memory_used 763.0
time 2021-06-24 18:00:30.254564 	memory 770.0 	max_memory_used 770.0 	retained_memory_used 767.0 	retained_max_memory_used 767.0
time 2021-06-24 18:00:30.264548 	memory 784.0 	max_memory_used 784.0 	retained_memory_used 781.0 	retained_max_memory_used 781.0
time 2021-06-24 18:00:30.265353 	memory 786.0 	max_memory_used 786.0 	retained_memory_used 783.0 	retained_max_memory_used 783.0
time 2021-06-24 18:00:30.268619 	memory 814.0 	max_memory_used 814.0 	retained_memory_used 811.0 	retained_max_memory_used 811.0
time 2021-06-24 18:00:30.270334 	memory 822.0 	max_memory_used 822.0 	retained_memory_used 819.0 	retained_max_memory_used 819.0
time 2021-06-24 18:00:30.271358 	memory 826.0 	max_memory_used 826.0 	retained_memory_used 823.0 	retained_max_memory_used 823.0
time 2021-06-24 18:00:30.271940 	memory 830.0 	max_memory_used 830.0 	retained_memory_used 827.0 	retained_max_memory_used 827.0
time 2021-06-24 18:00:30.272816 	memory 832.0 	max_memory_used 832.0 	retained_memory_used 829.0 	retained_max_memory_used 829.0
time 2021-06-24 18:00:30.277320 	memory 834.0 	max_memory_used 834.0 	retained_memory_used 831.0 	retained_max_memory_used 831.0
time 2021-06-24 18:00:30.277901 	memory 838.0 	max_memory_used 838.0 	retained_memory_used 835.0 	retained_max_memory_used 835.0
time 2021-06-24 18:00:30.279022 	memory 842.0 	max_memory_used 842.0 	retained_memory_used 839.0 	retained_max_memory_used 839.0
