time 2021-06-24 17:24:43.369296 	memory 1744.0 	max_memory_used 1744.0 	retained_memory_used 1741.0 	retained_max_memory_used 1741.0
time 2021-06-24 17:24:43.369751 	memory 1748.0 	max_memory_used 1748.0 	retained_memory_used 1745.0 	retained_max_memory_used 1745.0
time 2021-06-24 17:24:44.382799 	memory 1788.0 	max_memory_used 1788.0 	retained_memory_used 1785.0 	retained_max_memory_used 1785.0
time 2021-06-24 17:24:44.383449 	memory 1838.0 	max_memory_used 1838.0 	retained_memory_used 1835.0 	retained_max_memory_used 1835.0
time 2021-06-24 17:24:44.384144 	memory 1888.0 	max_memory_used 1888.0 	retained_memory_used 1885.0 	retained_max_memory_used 1885.0
time 2021-06-24 17:24:44.385442 	memory 1938.0 	max_memory_used 1938.0 	retained_memory_used 1935.0 	retained_max_memory_used 1935.0
time 2021-06-24 17:24:44.385975 	memory 1952.0 	max_memory_used 1952.0 	retained_memory_used 1949.0 	retained_max_memory_used 1949.0
time 2021-06-24 17:24:44.386567 	memory 1954.0 	max_memory_used 1954.0 	retained_memory_used 1951.0 	retained_max_memory_used 1951.0
time 2021-06-24 17:24:44.387368 	memory 1958.0 	max_memory_used 1958.0 	retained_memory_used 1955.0 	retained_max_memory_used 1955.0
time 2021-06-24 17:24:44.388216 	memory 1962.0 	max_memory_used 1962.0 	retained_memory_used 1959.0 	retained_max_memory_used 1959.0
time 2021-06-24 17:24:44.389071 	memory 1968.0 	max_memory_used 1968.0 	retained_memory_used 1965.0 	retained_max_memory_used 1965.0
time 2021-06-24 17:24:44.390120 	memory 1978.0 	max_memory_used 1978.0 	retained_memory_used 1975.0 	retained_max_memory_used 1975.0
time 2021-06-24 17:24:44.391557 	memory 1988.0 	max_memory_used 1988.0 	retained_memory_used 1985.0 	retained_max_memory_used 1985.0
time 2021-06-24 17:24:44.392999 	memory 1998.0 	max_memory_used 1998.0 	retained_memory_used 1995.0 	retained_max_memory_used 1995.0
time 2021-06-24 17:24:44.394436 	memory 2008.0 	max_memory_used 2008.0 	retained_memory_used 2005.0 	retained_max_memory_used 2005.0
time 2021-06-24 17:24:44.395885 	memory 2018.0 	max_memory_used 2018.0 	retained_memory_used 2015.0 	retained_max_memory_used 2015.0
time 2021-06-24 17:24:44.397151 	memory 2034.0 	max_memory_used 2034.0 	retained_memory_used 2031.0 	retained_max_memory_used 2031.0
time 2021-06-24 17:24:44.398917 	memory 2050.0 	max_memory_used 2050.0 	retained_memory_used 2047.0 	retained_max_memory_used 2047.0
time 2021-06-24 17:24:44.400675 	memory 2066.0 	max_memory_used 2066.0 	retained_memory_used 2063.0 	retained_max_memory_used 2063.0
time 2021-06-24 17:24:44.408543 	memory 2068.0 	max_memory_used 2068.0 	retained_memory_used 2065.0 	retained_max_memory_used 2065.0
time 2021-06-24 17:24:44.409407 	memory 2094.0 	max_memory_used 2094.0 	retained_memory_used 2091.0 	retained_max_memory_used 2091.0
time 2021-06-24 17:24:44.410025 	memory 2096.0 	max_memory_used 2096.0 	retained_memory_used 2093.0 	retained_max_memory_used 2093.0
time 2021-06-24 17:24:44.411933 	memory 2120.0 	max_memory_used 2120.0 	retained_memory_used 2117.0 	retained_max_memory_used 2117.0
time 2021-06-24 17:24:44.412741 	memory 2128.0 	max_memory_used 2128.0 	retained_memory_used 2125.0 	retained_max_memory_used 2125.0
time 2021-06-24 17:24:44.413524 	memory 2142.0 	max_memory_used 2142.0 	retained_memory_used 2139.0 	retained_max_memory_used 2139.0
time 2021-06-24 17:24:44.414161 	memory 2146.0 	max_memory_used 2146.0 	retained_memory_used 2143.0 	retained_max_memory_used 2143.0
time 2021-06-24 17:24:44.415531 	memory 2156.0 	max_memory_used 2156.0 	retained_memory_used 2153.0 	retained_max_memory_used 2153.0
time 2021-06-24 17:24:44.425890 	memory 2162.0 	max_memory_used 2162.0 	retained_memory_used 2159.0 	retained_max_memory_used 2159.0
time 2021-06-24 17:24:44.426375 	memory 2166.0 	max_memory_used 2166.0 	retained_memory_used 2163.0 	retained_max_memory_used 2163.0
time 2021-06-24 17:24:44.426876 	memory 2174.0 	max_memory_used 2174.0 	retained_memory_used 2171.0 	retained_max_memory_used 2171.0
time 2021-06-24 17:24:44.427303 	memory 2188.0 	max_memory_used 2188.0 	retained_memory_used 2185.0 	retained_max_memory_used 2185.0
time 2021-06-24 17:24:44.441564 	memory 2194.0 	max_memory_used 2194.0 	retained_memory_used 2191.0 	retained_max_memory_used 2191.0
time 2021-06-24 17:24:44.443614 	memory 2198.0 	max_memory_used 2198.0 	retained_memory_used 2195.0 	retained_max_memory_used 2195.0
time 2021-06-24 17:24:44.453807 	memory 2214.0 	max_memory_used 2214.0 	retained_memory_used 2211.0 	retained_max_memory_used 2211.0
time 2021-06-24 17:24:44.455369 	memory 2574.0 	max_memory_used 2574.0 	retained_memory_used 2571.0 	retained_max_memory_used 2571.0
