time 2021-06-24 03:34:43.862650 	memory 1399.0 	max_memory_used 1399.0 	retained_memory_used 1396.0 	retained_max_memory_used 1396.0
time 2021-06-24 03:34:43.862888 	memory 1403.0 	max_memory_used 1403.0 	retained_memory_used 1400.0 	retained_max_memory_used 1400.0
time 2021-06-24 03:34:43.873098 	memory 1405.0 	max_memory_used 1405.0 	retained_memory_used 1402.0 	retained_max_memory_used 1402.0
time 2021-06-24 03:34:43.875685 	memory 1407.0 	max_memory_used 1407.0 	retained_memory_used 1404.0 	retained_max_memory_used 1404.0
time 2021-06-24 03:34:43.877806 	memory 1409.0 	max_memory_used 1409.0 	retained_memory_used 1406.0 	retained_max_memory_used 1406.0
time 2021-06-24 03:34:43.878259 	memory 1413.0 	max_memory_used 1413.0 	retained_memory_used 1410.0 	retained_max_memory_used 1410.0
time 2021-06-24 03:34:43.879745 	memory 1417.0 	max_memory_used 1417.0 	retained_memory_used 1414.0 	retained_max_memory_used 1414.0
time 2021-06-24 03:34:43.881852 	memory 1435.0 	max_memory_used 1435.0 	retained_memory_used 1432.0 	retained_max_memory_used 1432.0
time 2021-06-24 03:34:43.882307 	memory 1437.0 	max_memory_used 1437.0 	retained_memory_used 1434.0 	retained_max_memory_used 1434.0
time 2021-06-24 03:34:43.888698 	memory 1439.0 	max_memory_used 1439.0 	retained_memory_used 1436.0 	retained_max_memory_used 1436.0
time 2021-06-24 03:34:43.892387 	memory 1443.0 	max_memory_used 1443.0 	retained_memory_used 1440.0 	retained_max_memory_used 1440.0
time 2021-06-24 03:34:43.892909 	memory 1447.0 	max_memory_used 1447.0 	retained_memory_used 1444.0 	retained_max_memory_used 1444.0
time 2021-06-24 03:34:43.893352 	memory 1453.0 	max_memory_used 1453.0 	retained_memory_used 1450.0 	retained_max_memory_used 1450.0
time 2021-06-24 03:34:43.896232 	memory 1467.0 	max_memory_used 1467.0 	retained_memory_used 1464.0 	retained_max_memory_used 1464.0
time 2021-06-24 03:34:43.896659 	memory 1469.0 	max_memory_used 1469.0 	retained_memory_used 1466.0 	retained_max_memory_used 1466.0
time 2021-06-24 03:34:43.904432 	memory 1817.0 	max_memory_used 1817.0 	retained_memory_used 1814.0 	retained_max_memory_used 1814.0
time 2021-06-24 03:34:44.282369 	memory 1867.0 	max_memory_used 1867.0 	retained_memory_used 1864.0 	retained_max_memory_used 1864.0
time 2021-06-24 03:34:44.284582 	memory 1869.0 	max_memory_used 1869.0 	retained_memory_used 1866.0 	retained_max_memory_used 1866.0
time 2021-06-24 03:34:45.157010 	memory 1877.0 	max_memory_used 1877.0 	retained_memory_used 1874.0 	retained_max_memory_used 1874.0
time 2021-06-24 03:34:58.668520 	memory 1879.0 	max_memory_used 1879.0 	retained_memory_used 1876.0 	retained_max_memory_used 1876.0
time 2021-06-24 03:34:59.598240 	memory 1883.0 	max_memory_used 1883.0 	retained_memory_used 1880.0 	retained_max_memory_used 1880.0
time 2021-06-24 03:34:59.599166 	memory 1885.0 	max_memory_used 1885.0 	retained_memory_used 1882.0 	retained_max_memory_used 1882.0
time 2021-06-24 03:35:00.453491 	memory 1915.0 	max_memory_used 1915.0 	retained_memory_used 1912.0 	retained_max_memory_used 1912.0
time 2021-06-24 03:35:01.367659 	memory 1945.0 	max_memory_used 1945.0 	retained_memory_used 1942.0 	retained_max_memory_used 1942.0
time 2021-06-24 03:35:02.280105 	memory 2295.0 	max_memory_used 2295.0 	retained_memory_used 2292.0 	retained_max_memory_used 2292.0
