,2,4,8,16,32
VGG,0.1118,0.1099,0.102,0.1257,0.1717
Inception V3,0.3924,0.4879,0.441,0.3596,0.2906
Inception V4,0.5749,0.5316,0.3384,0.2717,
ResNet,0.4573,0.3883,0.5453,0.5515,0.4509
DenseNet,0.0897,0.2047,0.2306,0.1551,
