,2,4,8,16,32
VGG,1.9867,2.3313,2.8402,2.8012,1.9789
Inception V3,0.8157,0.9609,1.2962,1.7045,2.2191
Inception V4,0.928,1.2266,1.9482,2.5281,
ResNet,0.6526,1.237,1.162,1.3134,1.6041
DenseNet,4.2463,3.0207,3.2569,4.8964,
