time 2021-06-24 19:45:01.887945 	memory 638.0 	max_memory_used 638.0 	retained_memory_used 635.0 	retained_max_memory_used 635.0
time 2021-06-24 19:45:01.888290 	memory 644.0 	max_memory_used 644.0 	retained_memory_used 641.0 	retained_max_memory_used 641.0
time 2021-06-24 19:45:01.926592 	memory 670.0 	max_memory_used 670.0 	retained_memory_used 667.0 	retained_max_memory_used 667.0
time 2021-06-24 19:45:01.927203 	memory 678.0 	max_memory_used 678.0 	retained_memory_used 675.0 	retained_max_memory_used 675.0
time 2021-06-24 19:45:01.932942 	memory 682.0 	max_memory_used 682.0 	retained_memory_used 679.0 	retained_max_memory_used 679.0
time 2021-06-24 19:45:01.939136 	memory 1026.0 	max_memory_used 1026.0 	retained_memory_used 1023.0 	retained_max_memory_used 1023.0
time 2021-06-24 19:45:02.030844 	memory 1032.0 	max_memory_used 1032.0 	retained_memory_used 1029.0 	retained_max_memory_used 1029.0
time 2021-06-24 19:45:02.102186 	memory 1040.0 	max_memory_used 1040.0 	retained_memory_used 1037.0 	retained_max_memory_used 1037.0
time 2021-06-24 19:45:02.169782 	memory 1052.0 	max_memory_used 1052.0 	retained_memory_used 1049.0 	retained_max_memory_used 1049.0
time 2021-06-24 19:45:02.207467 	memory 1056.0 	max_memory_used 1056.0 	retained_memory_used 1053.0 	retained_max_memory_used 1053.0
time 2021-06-24 19:45:02.256877 	memory 1064.0 	max_memory_used 1064.0 	retained_memory_used 1061.0 	retained_max_memory_used 1061.0
time 2021-06-24 19:45:02.326412 	memory 1076.0 	max_memory_used 1076.0 	retained_memory_used 1073.0 	retained_max_memory_used 1073.0
time 2021-06-24 19:45:02.849802 	memory 1084.0 	max_memory_used 1084.0 	retained_memory_used 1081.0 	retained_max_memory_used 1081.0
time 2021-06-24 19:45:03.127395 	memory 1086.0 	max_memory_used 1086.0 	retained_memory_used 1083.0 	retained_max_memory_used 1083.0
time 2021-06-24 19:45:03.142064 	memory 1088.0 	max_memory_used 1088.0 	retained_memory_used 1085.0 	retained_max_memory_used 1085.0
time 2021-06-24 19:45:03.165816 	memory 1090.0 	max_memory_used 1090.0 	retained_memory_used 1087.0 	retained_max_memory_used 1087.0
time 2021-06-24 19:45:03.204108 	memory 1092.0 	max_memory_used 1092.0 	retained_memory_used 1089.0 	retained_max_memory_used 1089.0
